date,요일,캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),소비자물가지수,고급휘발유,보통휘발유,자동차용경유,실내등유,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
2016-01-01,금요일,0.0,0.0,95.232,1780.99,1407.15,1188.71,835.38,0.0,6.8,-5.0,0.0,0.0,11.8
2016-01-02,토요일,880.0,2014.0,95.232,1781.69,1405.98,1187.91,834.11,3.5,11.7,-2.5,0.0,0.0,14.2
2016-01-03,일요일,0.0,0.0,95.232,1780.84,1405.33,1187.1,833.42,5.0,13.7,0.6,0.0,0.0,13.1
2016-01-04,월요일,2703.8,3885.0,95.232,1780.73,1403.84,1185.85,832.0,4.2,11.1,-1.1,0.0,0.0,12.2
2016-01-05,화요일,8810.0,2853.0,95.232,1779.6,1402.25,1184.01,830.39,0.4,5.2,-2.9,0.0,0.0,8.1
2016-01-06,수요일,7487.0,2119.0,95.232,1779.69,1400.78,1182.44,828.66,0.6,6.2,-5.8,0.0,0.0,12.0
2016-01-07,목요일,4687.8,2997.0,95.232,1776.63,1399.15,1180.44,826.77,1.2,4.3,-0.4,0.0,0.0,4.7
2016-01-08,금요일,4916.0,2734.0,95.232,1776.26,1397.36,1178.04,824.76,-0.2,3.1,-2.7,0.0,0.0,5.800000000000001
2016-01-09,토요일,1766.0,4773.0,95.232,1775.52,1395.62,1175.5,822.84,0.5,5.5,-2.4,0.0,0.0,7.9
2016-01-10,일요일,0.0,0.0,95.232,1773.71,1394.79,1174.3,821.67,1.1,7.7,-3.6,0.0,0.0,11.3
2016-01-11,월요일,2039.8,2133.0,95.232,1773.83,1393.53,1172.86,820.46,-0.3,5.0,-4.3,0.0,0.0,9.3
2016-01-12,화요일,920.0,3072.0,95.232,1771.25,1391.91,1170.17,818.44,-2.2,3.8,-7.9,0.0,0.0,11.7
2016-01-13,수요일,2674.8,2261.0,95.232,1769.93,1390.32,1167.57,816.16,-1.6,0.8,-4.2,0.0,1.0,5.0
2016-01-14,목요일,1840.4,2567.0,95.232,1768.29,1388.78,1164.76,813.62,-1.2,3.7,-4.7,0.0,0.0,8.4
2016-01-15,금요일,836.4,6504.0,95.232,1767.07,1387.16,1161.8,810.99,-0.1,7.3,-5.7,0.0,0.0,13.0
2016-01-16,토요일,1355.0,1531.0,95.232,1766.01,1384.83,1158.36,808.45,1.6,9.2,-2.7,0.0,0.0,11.9
2016-01-17,일요일,0.0,0.0,95.232,1765.34,1383.82,1156.54,806.98,1.6,5.2,-1.3,0.0,3.0,6.5
2016-01-18,월요일,1918.8,4871.0,95.232,1762.48,1382.41,1154.25,805.51,-1.8,2.4,-6.0,0.0,2.5,8.4
2016-01-19,화요일,1833.0,1674.0,95.232,1757.5,1379.99,1150.54,802.26,-7.2,-5.2,-9.9,0.0,1.0,4.7
2016-01-20,수요일,442.8,3171.0,95.232,1755.68,1378.33,1147.64,799.66,-7.4,-3.1,-12.2,0.0,0.0,9.1
2016-01-21,목요일,897.6,2917.0,95.232,1754.06,1376.56,1144.35,796.97,-5.6,-1.1,-9.0,0.0,0.0,7.9
