date,재배지역_평균기온,재배지역_평균운량,재배지역_일강수량,재배지역_일교차
2016-01-01,0.3,1.11,0.0,12.05
2016-01-02,3.61,1.31,0.0,13.11
2016-01-03,4.66,1.54,0.0,13.8
2016-01-04,4.72,0.92,0.0,10.44
2016-01-05,0.14,0.68,0.0,7.07
2016-01-06,0.36,1.13,0.0,10.43
2016-01-07,0.61,0.29,0.0,6.44
2016-01-08,-0.28,0.41,0.0,7.64
2016-01-09,0.86,0.9,0.0,9.0
2016-01-10,1.69,0.64,0.0,9.89
2016-01-11,-0.69,0.31,0.0,9.01
2016-01-12,-2.34,0.33,0.0,11.16
2016-01-13,-1.49,1.09,0.86,6.79
2016-01-14,-1.68,0.72,0.16,9.12
2016-01-15,-0.5,0.51,0.04,12.05
2016-01-16,0.92,1.52,0.04,11.61
2016-01-17,1.17,1.33,2.63,6.23
2016-01-18,-2.19,1.05,0.86,9.65
2016-01-19,-7.77,0.08,0.28,4.76
2016-01-20,-7.1,0.53,0.0,8.24
2016-01-21,-5.02,0.88,0.0,7.78
2016-01-22,-4.63,1.05,0.0,10.59
2016-01-23,-7.38,0.84,0.0,7.56
2016-01-24,-11.31,0.0,2.18,6.21
2016-01-25,-7.09,0.2,0.0,13.45
2016-01-26,-2.23,1.13,0.16,10.45
2016-01-27,-0.1,0.53,0.0,11.54
2016-01-28,-0.07,1.41,3.92,9.0
2016-01-29,2.24,1.43,6.16,3.93
2016-01-30,2.37,0.68,0.0,8.99
2016-01-31,-0.84,0.82,0.0,6.05
2016-02-01,-3.15,0.18,0.0,7.64
2016-02-02,-3.67,0.0,0.0,12.11
2016-02-03,-2.3,0.47,0.0,14.07
2016-02-04,-0.35,0.78,0.0,12.33
2016-02-05,-0.86,0.57,0.0,11.37
2016-02-06,-1.52,0.0,0.06,9.76
2016-02-07,-2.57,0.23,0.0,14.36
2016-02-08,1.7,1.25,0.0,14.75
2016-02-09,2.17,0.16,0.0,10.38
2016-02-10,1.92,0.0,0.0,18.05
2016-02-11,6.64,1.29,0.11,16.57
2016-02-12,9.98,2.05,20.71,5.8
2016-02-13,12.67,2.05,7.94,9.44
2016-02-14,0.54,1.72,0.4,13.62
2016-02-15,-3.15,0.49,0.02,6.63
2016-02-16,-0.47,0.84,0.69,7.75
2016-02-17,0.87,0.06,0.14,10.86
2016-02-18,2.57,0.88,0.0,13.82
2016-02-19,3.62,1.54,0.0,10.4
2016-02-20,3.07,0.41,0.0,11.05
2016-02-21,0.48,0.57,0.0,10.6
2016-02-22,2.47,1.95,0.02,8.34
2016-02-23,2.89,1.11,0.06,10.59
2016-02-24,-1.32,0.0,0.0,8.66
2016-02-25,-0.16,0.62,0.0,13.11
2016-02-26,1.89,0.98,1.24,8.76
2016-02-27,4.99,1.54,1.57,10.52
2016-02-28,3.89,1.33,6.66,12.61
2016-02-29,-2.04,0.51,1.07,6.23
2016-03-01,-1.63,0.39,0.0,12.22
2016-03-02,2.5,1.35,0.0,16.35
2016-03-03,6.47,1.23,0.0,18.24
2016-03-04,9.11,1.35,14.28,8.26
2016-03-05,12.46,1.8,36.0,7.03
2016-03-06,10.96,0.88,0.37,11.67
2016-03-07,9.71,1.64,0.0,14.04
2016-03-08,6.19,1.74,1.3,6.87
2016-03-09,3.55,0.84,0.0,8.52
2016-03-10,1.06,0.47,0.0,7.7
2016-03-11,0.5,0.02,0.0,9.93
2016-03-12,2.45,1.19,0.0,14.26
2016-03-13,3.91,1.52,0.0,8.36
2016-03-14,4.1,0.74,0.0,11.45
