,date,요일,대파_거래량(kg),대파_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),월,년,계절,대파_거래량의_1주전_평균,대파_가격의_1주전_평균,대파_거래량의_2주전_평균,대파_가격의_2주전_평균,팽이버섯_거래량의_1주전_평균,팽이버섯_가격의_1주전_평균,팽이버섯_거래량의_2주전_평균,팽이버섯_가격의_2주전_평균,깻잎_거래량의_1주전_평균,깻잎_가격의_1주전_평균,깻잎_거래량의_2주전_평균,깻잎_가격의_2주전_평균,캠벨얼리_거래량의_1주전_평균,캠벨얼리_가격의_1주전_평균,캠벨얼리_거래량의_2주전_평균,캠벨얼리_가격의_2주전_평균,토마토_거래량의_1주전_평균,토마토_가격의_1주전_평균,토마토_거래량의_2주전_평균,토마토_가격의_2주전_평균
0,2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2016-01-02,토요일,92334.0,1704.0,4374.9,13242.0,14634.0,1474.0,30950.0,1621.0,880.0,2014.0,1,2016,0,92334.0,1704.0,92334.0,1704.0,14634.0,1474.0,14634.0,1474.0,4374.9,13242.0,4374.9,13242.0,880.0,2014.0,880.0,2014.0,30950.0,1621.0,30950.0,1621.0
2,2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2016-01-04,월요일,994328.1,1716.0,122613.5,9923.0,159800.0,1750.0,291057.0,1834.0,2703.8,3885.0,1,2016,0,994328.1,1716.0,994328.1,1716.0,159800.0,1750.0,159800.0,1750.0,122613.5,9923.0,122613.5,9923.0,2703.8,3885.0,2703.8,3885.0,291057.0,1834.0,291057.0,1834.0
4,2016-01-05,화요일,787716.0,1715.0,79055.9,9529.0,153084.0,1822.0,194626.5,1833.0,8810.0,2853.0,1,2016,0,787716.0,1715.0,787716.0,1715.0,153084.0,1822.0,153084.0,1822.0,79055.9,9529.0,79055.9,9529.0,8810.0,2853.0,8810.0,2853.0,194626.5,1833.0,194626.5,1833.0
5,2016-01-06,수요일,793584.9,1620.0,78532.8,8123.0,152693.1,1519.0,178811.0,1999.0,7487.0,2119.0,1,2016,0,793584.9,1620.0,793584.9,1620.0,152693.1,1519.0,152693.1,1519.0,78532.8,8123.0,78532.8,8123.0,7487.0,2119.0,7487.0,2119.0,178811.0,1999.0,178811.0,1999.0
6,2016-01-07,목요일,733312.0,1545.0,75987.7,6793.0,148757.3,1365.0,107346.3,1921.0,4687.8,2997.0,1,2016,0,733312.0,1545.0,733312.0,1545.0,148757.3,1365.0,148757.3,1365.0,75987.7,6793.0,75987.7,6793.0,4687.8,2997.0,4687.8,2997.0,107346.3,1921.0,107346.3,1921.0
7,2016-01-08,금요일,797767.3,1488.0,79078.7,5644.0,148426.1,1349.0,190624.0,2107.0,4916.0,2734.0,1,2016,0,797767.3,1488.0,797767.3,1488.0,148426.1,1349.0,148426.1,1349.0,79078.7,5644.0,79078.7,5644.0,4916.0,2734.0,4916.0,2734.0,190624.0,2107.0,190624.0,2107.0
8,2016-01-09,토요일,739213.0,1433.0,74088.1,5128.0,149971.0,1273.0,137028.0,2111.0,1766.0,4773.0,1,2016,0,739213.0,1433.0,739213.0,1433.0,149971.0,1273.0,149971.0,1273.0,74088.1,5128.0,74088.1,5128.0,1766.0,4773.0,1766.0,4773.0,137028.0,2111.0,137028.0,2111.0
9,2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2016-01-11,월요일,904317.5,1323.0,97151.3,5218.0,155995.5,1351.0,199396.0,2170.0,2039.8,2133.0,1,2016,0,807653.5499999999,1586.1666666666667,904317.5,1323.0,152121.91666666666,1513.0,155995.5,1351.0,84892.78333333334,7523.333333333333,97151.3,5218.0,5061.766666666666,3226.8333333333335,2039.8,2133.0,183248.80000000002,1967.5,199396.0,2170.0
