date,재배지역_평균기온,재배지역_평균운량,재배지역_일강수량,재배지역_일교차
2016-01-01,0.5,0.0,0.0,13.4
2016-01-02,2.29,0.0,0.0,14.18
2016-01-03,3.59,0.0,0.0,16.56
2016-01-04,6.17,0.0,0.0,10.06
2016-01-05,1.53,0.0,0.0,6.04
2016-01-06,1.45,0.0,0.0,9.31
2016-01-07,1.67,0.0,0.0,6.34
2016-01-08,0.5,0.0,0.0,7.52
2016-01-09,1.25,0.0,0.0,11.83
2016-01-10,2.92,0.0,0.0,9.72
2016-01-11,0.39,0.0,0.0,9.22
2016-01-12,-1.31,0.0,0.0,11.78
2016-01-13,-0.62,0.0,0.02,7.33
2016-01-14,-0.8,0.0,0.0,8.92
2016-01-15,-0.74,0.0,0.0,13.22
2016-01-16,0.38,0.0,0.0,13.14
2016-01-17,0.95,0.0,2.87,6.24
2016-01-18,-0.68,0.0,0.3,9.81
2016-01-19,-6.49,0.0,0.0,4.29
2016-01-20,-5.72,0.0,0.0,8.18
2016-01-21,-3.68,0.0,0.0,7.21
2016-01-22,-2.6,0.0,0.0,8.82
2016-01-23,-5.99,0.0,0.0,8.36
2016-01-24,-10.28,0.0,0.04,6.07
2016-01-25,-5.05,0.0,0.0,11.57
2016-01-26,-1.63,0.0,0.01,11.66
2016-01-27,1.14,0.0,0.0,11.74
2016-01-28,-0.43,0.0,3.12,9.14
2016-01-29,1.48,0.0,10.76,2.93
2016-01-30,2.56,0.0,0.24,6.87
2016-01-31,0.8,0.0,0.0,5.77
2016-02-01,-1.57,0.0,0.0,7.16
2016-02-02,-2.3,0.0,0.0,11.2
2016-02-03,-1.2,0.0,0.0,13.4
2016-02-04,1.26,0.0,0.0,11.02
2016-02-05,0.92,0.0,0.0,9.42
2016-02-06,-0.29,0.0,0.0,10.46
2016-02-07,-1.08,0.0,0.0,13.65
2016-02-08,1.66,0.0,0.0,15.77
2016-02-09,3.29,0.0,0.0,10.14
2016-02-10,1.75,0.0,0.0,17.44
2016-02-11,5.01,0.0,0.04,17.17
2016-02-12,9.5,0.0,10.83,6.93
2016-02-13,12.38,0.0,5.22,7.17
2016-02-14,2.78,0.0,0.13,16.37
2016-02-15,-2.05,0.0,0.0,6.34
2016-02-16,0.53,0.0,0.44,7.77
2016-02-17,2.07,0.0,0.0,10.64
2016-02-18,2.58,0.0,0.0,13.64
2016-02-19,4.03,0.0,0.0,11.62
2016-02-20,4.22,0.0,0.0,10.43
2016-02-21,1.47,0.0,0.0,9.83
2016-02-22,3.37,0.0,0.0,9.45
2016-02-23,4.23,0.0,0.0,10.28
2016-02-24,0.34,0.0,0.0,8.06
2016-02-25,0.92,0.0,0.0,12.36
2016-02-26,2.16,0.0,1.47,9.4
2016-02-27,5.24,0.0,0.61,11.06
2016-02-28,5.34,0.0,5.38,13.63
2016-02-29,-0.65,0.0,0.04,6.52
2016-03-01,-0.21,0.0,0.0,12.04
2016-03-02,3.21,0.0,0.0,16.93
2016-03-03,6.0,0.0,0.0,20.55
2016-03-04,7.27,0.0,6.66,8.62
2016-03-05,12.13,0.0,35.34,7.89
2016-03-06,12.38,0.0,3.53,11.87
2016-03-07,10.2,0.0,0.0,14.52
2016-03-08,8.17,0.0,0.0,5.51
2016-03-09,5.3,0.0,0.0,8.32
2016-03-10,2.4,0.0,0.0,7.65
2016-03-11,1.5,0.0,0.0,9.73
2016-03-12,3.47,0.0,0.0,14.04
2016-03-13,4.64,0.0,0.0,8.32
2016-03-14,4.9,0.0,0.0,12.28
2016-03-15,7.05,0.0,0.0,17.06
2016-03-16,9.82,0.0,0.0,14.35
2016-03-17,10.69,0.0,0.0,20.84
2016-03-18,10.58,0.0,9.65,4.2
2016-03-19,11.01,0.0,0.0,11.85
2016-03-20,8.63,0.0,0.0,9.01
2016-03-21,9.35,0.0,0.0,14.4
2016-03-22,11.39,0.0,0.0,17.48
2016-03-23,10.23,0.0,0.06,9.08
2016-03-24,7.49,0.0,0.42,9.25
2016-03-25,6.83,0.0,0.29,8.63
2016-03-26,6.89,0.0,0.02,12.45
2016-03-27,8.95,0.0,0.0,13.85
2016-03-28,10.13,0.0,0.0,18.02
2016-03-29,11.87,0.0,0.0,15.92
2016-03-30,14.09,0.0,0.0,16.55
2016-03-31,12.42,0.0,0.0,16.8
2016-04-01,14.28,0.0,0.0,21.2
2016-04-02,15.12,0.0,0.0,17.99
2016-04-03,12.42,0.0,18.36,6.55
2016-04-04,10.57,0.0,2.54,5.55
2016-04-05,12.48,0.0,0.0,15.57
2016-04-06,13.47,0.0,13.12,16.26
2016-04-07,12.92,0.0,32.13,9.14
2016-04-08,16.2,0.0,0.0,15.79
2016-04-09,16.84,0.0,0.0,17.22
2016-04-10,14.61,0.0,2.23,13.3
2016-04-11,10.47,0.0,0.0,7.74
2016-04-12,12.99,0.0,0.36,14.76
2016-04-13,13.8,0.0,10.66,3.67
2016-04-14,17.14,0.0,0.0,12.81
2016-04-15,14.64,0.0,0.0,15.27
2016-04-16,14.76,0.0,9.6,13.6
2016-04-17,15.0,0.0,6.47,7.2
2016-04-18,15.29,0.0,0.15,10.64
2016-04-19,13.49,0.0,0.0,11.86
2016-04-20,14.96,0.0,0.0,14.67
2016-04-21,13.6,0.0,31.36,7.05
2016-04-22,18.59,0.0,0.0,16.04
2016-04-23,17.27,0.0,0.0,7.92
2016-04-24,15.41,0.0,0.0,14.98
2016-04-25,16.26,0.0,0.0,19.13
2016-04-26,17.46,0.0,0.0,17.8
2016-04-27,11.15,0.0,36.88,5.54
2016-04-28,14.11,0.0,2.66,10.38
2016-04-29,15.01,0.0,0.0,13.45
2016-04-30,17.19,0.0,0.0,18.92
2016-05-01,18.86,0.0,0.0,17.83
2016-05-02,19.35,0.0,0.98,16.31
2016-05-03,16.57,0.0,6.42,8.74
2016-05-04,19.24,0.0,0.07,9.24
2016-05-05,19.51,0.0,0.0,17.73
2016-05-06,20.59,0.0,0.0,7.52
2016-05-07,18.87,0.0,0.0,11.91
2016-05-08,18.25,0.0,0.0,17.07
2016-05-09,18.87,0.0,0.0,10.59
2016-05-10,14.31,0.0,23.06,6.66
2016-05-11,16.6,0.0,3.19,11.39
2016-05-12,18.59,0.0,0.0,15.97
2016-05-13,16.64,0.0,0.0,10.55
2016-05-14,17.19,0.0,0.0,15.42
2016-05-15,19.6,0.0,1.88,13.8
2016-05-16,15.32,0.0,13.22,12.8
2016-05-17,17.75,0.0,0.0,20.75
2016-05-18,21.01,0.0,0.0,20.38
2016-05-19,20.36,0.0,0.0,18.33
2016-05-20,20.09,0.0,0.0,18.12
2016-05-21,19.0,0.0,0.0,17.73
2016-05-22,19.14,0.0,0.0,18.96
2016-05-23,21.41,0.0,0.0,18.78
2016-05-24,18.97,0.0,11.78,7.8
2016-05-25,19.93,0.0,0.0,14.68
2016-05-26,21.62,0.0,0.0,13.66
2016-05-27,23.36,0.0,0.0,10.71
2016-05-28,22.28,0.0,0.0,11.75
2016-05-29,21.55,0.0,0.33,11.96
2016-05-30,23.92,0.0,0.0,13.85
2016-05-31,23.69,0.0,0.0,13.37
2016-06-01,21.37,0.0,0.0,11.48
2016-06-02,20.85,0.0,0.0,17.3
2016-06-03,22.71,0.0,0.0,16.31
2016-06-04,20.04,0.0,0.1,6.11
2016-06-05,21.46,0.0,0.0,13.41
2016-06-06,18.31,0.0,1.09,3.95
2016-06-07,22.54,0.0,0.08,9.37
2016-06-08,21.51,0.0,3.78,5.87
2016-06-09,23.3,0.0,0.0,11.69
2016-06-10,24.46,0.0,0.0,13.15
2016-06-11,24.43,0.0,5.53,10.82
2016-06-12,23.2,0.0,0.1,5.69
2016-06-13,23.9,0.0,0.41,9.29
2016-06-14,23.48,0.0,0.51,9.36
2016-06-15,22.62,0.0,2.3,7.21
2016-06-16,23.69,0.0,0.2,7.55
2016-06-17,24.37,0.0,0.0,12.53
2016-06-18,25.43,0.0,0.0,14.82
2016-06-19,25.53,0.0,1.52,12.14
2016-06-20,24.99,0.0,0.48,13.85
2016-06-21,23.66,0.0,1.42,6.31
2016-06-22,23.28,0.0,0.5,6.09
2016-06-23,26.04,0.0,0.0,11.37
2016-06-24,22.43,0.0,16.79,4.93
2016-06-25,23.92,0.0,0.0,9.82
2016-06-26,24.14,0.0,0.0,13.48
2016-06-27,23.0,0.0,0.02,10.39
2016-06-28,23.35,0.0,0.03,10.92
2016-06-29,23.52,0.0,0.02,7.62
2016-06-30,24.66,0.0,2.87,12.03
2016-07-01,24.65,0.0,45.02,6.92
2016-07-02,24.72,0.0,28.56,5.93
2016-07-03,22.71,0.0,19.69,5.15
2016-07-04,21.29,0.0,43.34,2.67
2016-07-05,26.92,0.0,5.89,10.8
2016-07-06,24.29,0.0,106.32,6.41
2016-07-07,22.7,0.0,7.88,11.49
2016-07-08,25.61,0.0,0.04,11.91
2016-07-09,27.29,0.0,0.0,12.6
2016-07-10,26.83,0.0,0.0,10.42
2016-07-11,25.97,0.0,2.97,8.38
2016-07-12,26.19,0.0,0.18,6.57
2016-07-13,27.0,0.0,0.0,8.3
2016-07-14,25.59,0.0,0.0,8.97
2016-07-15,24.46,0.0,0.01,9.89
2016-07-16,21.9,0.0,12.86,2.57
2016-07-17,24.92,0.0,0.0,8.64
2016-07-18,24.45,0.0,0.0,9.17
