date,요일,샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg),소비자물가지수,자동차용경유,재배지역_평균기온,재배지역_평균운량,재배지역_일강수량,재배지역_일교차,수출(중량),수출(금액),수입(중량),수입(금액),재배면적(ha),블루베리_거래물량(kg),최저시급,경제활동인구,실업률 (%)
2016-01-01,금요일,0.0,0.0,95.232,1188.71,0.5,0.0,0.0,13.4,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-02,토요일,0.0,0.0,95.232,1187.91,2.29,0.0,0.0,14.18,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-03,일요일,0.0,0.0,95.232,1187.1,3.59,0.0,0.0,16.56,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-04,월요일,0.0,0.0,95.232,1185.85,6.17,0.0,0.0,10.06,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-05,화요일,0.0,0.0,95.232,1184.01,1.53,0.0,0.0,6.04,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-06,수요일,0.0,0.0,95.232,1182.44,1.45,0.0,0.0,9.31,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-07,목요일,0.0,0.0,95.232,1180.44,1.67,0.0,0.0,6.34,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-08,금요일,0.0,0.0,95.232,1178.04,0.5,0.0,0.0,7.52,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-09,토요일,0.0,0.0,95.232,1175.5,1.25,0.0,0.0,11.83,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-10,일요일,0.0,0.0,95.232,1174.3,2.92,0.0,0.0,9.72,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-11,월요일,0.0,0.0,95.232,1172.86,0.39,0.0,0.0,9.22,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-12,화요일,0.0,0.0,95.232,1170.17,-1.31,0.0,0.0,11.78,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-13,수요일,0.0,0.0,95.232,1167.57,-0.62,0.0,0.02,7.33,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-14,목요일,0.0,0.0,95.232,1164.76,-0.8,0.0,0.0,8.92,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-15,금요일,0.0,0.0,95.232,1161.8,-0.74,0.0,0.0,13.22,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-16,토요일,0.0,0.0,95.232,1158.36,0.38,0.0,0.0,13.14,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-17,일요일,0.0,0.0,95.232,1156.54,0.95,0.0,2.87,6.24,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-18,월요일,0.0,0.0,95.232,1154.25,-0.68,0.0,0.3,9.81,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-19,화요일,0.0,0.0,95.232,1150.54,-6.49,0.0,0.0,4.29,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-20,수요일,0.0,0.0,95.232,1147.64,-5.72,0.0,0.0,8.18,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-21,목요일,0.0,0.0,95.232,1144.35,-3.68,0.0,0.0,7.21,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-22,금요일,0.0,0.0,95.232,1140.8,-2.6,0.0,0.0,8.82,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-23,토요일,0.0,0.0,95.232,1137.97,-5.99,0.0,0.0,8.36,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-24,일요일,0.0,0.0,95.232,1136.39,-10.28,0.0,0.04,6.07,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-25,월요일,0.0,0.0,95.232,1135.33,-5.05,0.0,0.0,11.57,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-26,화요일,0.0,0.0,95.232,1131.93,-1.63,0.0,0.01,11.66,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-27,수요일,0.0,0.0,95.232,1128.92,1.14,0.0,0.0,11.74,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-28,목요일,0.0,0.0,95.232,1126.12,-0.43,0.0,3.12,9.14,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-29,금요일,0.0,0.0,95.232,1124.11,1.48,0.0,10.76,2.93,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-30,토요일,0.0,0.0,95.232,1122.4,2.56,0.0,0.24,6.87,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-01-31,일요일,0.0,0.0,95.232,1120.97,0.8,0.0,0.0,5.77,264.68064516129033,728.1612903225806,117936.2258064516,340002.4516129032,14946.0,53.55,6030,918310,0.13
2016-02-01,월요일,0.0,0.0,95.64,1118.75,-1.57,0.0,0.0,7.16,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-02,화요일,0.0,0.0,95.64,1117.02,-2.3,0.0,0.0,11.2,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-03,수요일,0.0,0.0,95.64,1115.02,-1.2,0.0,0.0,13.4,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-04,목요일,0.0,0.0,95.64,1113.01,1.26,0.0,0.0,11.02,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-05,금요일,0.0,0.0,95.64,1111.98,0.92,0.0,0.0,9.42,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-06,토요일,0.0,0.0,95.64,1110.29,-0.29,0.0,0.0,10.46,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-07,일요일,0.0,0.0,95.64,1109.39,-1.08,0.0,0.0,13.65,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-08,월요일,0.0,0.0,95.64,1109.05,1.66,0.0,0.0,15.77,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-09,화요일,0.0,0.0,95.64,1108.73,3.29,0.0,0.0,10.14,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-10,수요일,0.0,0.0,95.64,1108.27,1.75,0.0,0.0,17.44,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-11,목요일,0.0,0.0,95.64,1107.26,5.01,0.0,0.04,17.17,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-12,금요일,0.0,0.0,95.64,1104.71,9.5,0.0,10.83,6.93,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-13,토요일,0.0,0.0,95.64,1102.64,12.38,0.0,5.22,7.17,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-14,일요일,0.0,0.0,95.64,1101.51,2.78,0.0,0.13,16.37,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-15,월요일,0.0,0.0,95.64,1100.93,-2.05,0.0,0.0,6.34,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-16,화요일,0.0,0.0,95.64,1098.49,0.53,0.0,0.44,7.77,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-17,수요일,0.0,0.0,95.64,1096.73,2.07,0.0,0.0,10.64,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-18,목요일,0.0,0.0,95.64,1095.22,2.58,0.0,0.0,13.64,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-19,금요일,0.0,0.0,95.64,1094.2,4.03,0.0,0.0,11.62,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-20,토요일,0.0,0.0,95.64,1093.17,4.22,0.0,0.0,10.43,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-21,일요일,0.0,0.0,95.64,1092.36,1.47,0.0,0.0,9.83,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-22,월요일,0.0,0.0,95.64,1092.17,3.37,0.0,0.0,9.45,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-23,화요일,0.0,0.0,95.64,1091.84,4.23,0.0,0.0,10.28,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-24,수요일,0.0,0.0,95.64,1091.53,0.34,0.0,0.0,8.06,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-25,목요일,0.0,0.0,95.64,1090.86,0.92,0.0,0.0,12.36,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-26,금요일,0.0,0.0,95.64,1090.25,2.16,0.0,1.47,9.4,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-27,토요일,0.0,0.0,95.64,1089.49,5.24,0.0,0.61,11.06,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-28,일요일,0.0,0.0,95.64,1088.76,5.34,0.0,5.38,13.63,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-02-29,월요일,0.0,0.0,95.64,1089.29,-0.65,0.0,0.04,6.52,39.220689655172414,134.9655172413793,158838.8620689655,517988.3448275862,14946.0,57.25,6030,928448,0.17
2016-03-01,화요일,0.0,0.0,95.393,1088.41,-0.21,0.0,0.0,12.04,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-02,수요일,0.0,0.0,95.393,1088.33,3.21,0.0,0.0,16.93,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-03,목요일,0.0,0.0,95.393,1088.29,6.0,0.0,0.0,20.55,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-04,금요일,0.0,0.0,95.393,1088.06,7.27,0.0,6.66,8.62,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-05,토요일,0.0,0.0,95.393,1087.84,12.13,0.0,35.34,7.89,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-06,일요일,0.0,0.0,95.393,1087.61,12.38,0.0,3.53,11.87,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-07,월요일,0.0,0.0,95.393,1088.15,10.2,0.0,0.0,14.52,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-08,화요일,0.0,0.0,95.393,1089.14,8.17,0.0,0.0,5.51,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-09,수요일,0.0,0.0,95.393,1090.68,5.3,0.0,0.0,8.32,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-10,목요일,0.0,0.0,95.393,1091.69,2.4,0.0,0.0,7.65,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-11,금요일,0.0,0.0,95.393,1093.17,1.5,0.0,0.0,9.73,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-12,토요일,0.0,0.0,95.393,1094.88,3.47,0.0,0.0,14.04,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-13,일요일,0.0,0.0,95.393,1095.27,4.64,0.0,0.0,8.32,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-14,월요일,0.0,0.0,95.393,1097.75,4.9,0.0,0.0,12.28,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-15,화요일,0.0,0.0,95.393,1100.78,7.05,0.0,0.0,17.06,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
2016-03-16,수요일,0.0,0.0,95.393,1103.27,9.82,0.0,0.0,14.35,157.91612903225806,350.5483870967742,287687.1322580645,909763.0967741936,14946.0,53.55,6030,935620,0.14
