date,요일,토마토_거래량(kg),토마토_가격(원/kg),소비자물가지수,고급휘발유,보통휘발유,자동차용경유,실내등유,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
2016-01-01,금요일,0.0,0.0,95.232,1780.99,1407.15,1188.71,835.38,5.3,10.9,1.1,1.4,0.0,9.8
2016-01-02,토요일,30950.0,1621.0,95.232,1781.69,1405.98,1187.91,834.11,8.1,12.2,4.6,4.6,0.0,7.6
2016-01-03,일요일,0.0,0.0,95.232,1780.84,1405.33,1187.1,833.42,11.4,16.6,7.9,1.5,0.0,8.700000000000001
2016-01-04,월요일,291057.0,1834.0,95.232,1780.73,1403.84,1185.85,832.0,10.4,15.2,7.6,0.8,0.0,7.6
2016-01-05,화요일,194626.5,1833.0,95.232,1779.6,1402.25,1184.01,830.39,5.3,8.1,3.2,7.0,0.2,4.9
2016-01-06,수요일,178811.0,1999.0,95.232,1779.69,1400.78,1182.44,828.66,4.8,9.9,1.8,5.6,0.0,8.1
2016-01-07,목요일,107346.3,1921.0,95.232,1776.63,1399.15,1180.44,826.77,3.9,8.5,1.1,0.9,0.0,7.4
2016-01-08,금요일,190624.0,2107.0,95.232,1776.26,1397.36,1178.04,824.76,2.5,6.9,-0.5,0.8,0.0,7.4
2016-01-09,토요일,137028.0,2111.0,95.232,1775.52,1395.62,1175.5,822.84,3.8,9.4,-0.4,0.0,0.0,9.8
2016-01-10,일요일,0.0,0.0,95.232,1773.71,1394.79,1174.3,821.67,4.8,10.1,0.5,0.4,0.0,9.6
2016-01-11,월요일,199396.0,2170.0,95.232,1773.83,1393.53,1172.86,820.46,4.5,10.1,1.7,4.6,0.0,8.4
2016-01-12,화요일,170969.0,2281.0,95.232,1771.25,1391.91,1170.17,818.44,2.5,7.9,-0.9,1.1,0.0,8.8
2016-01-13,수요일,162336.0,2488.0,95.232,1769.93,1390.32,1167.57,816.16,1.5,6.9,-2.2,0.3,0.0,9.1
2016-01-14,목요일,103103.0,2344.0,95.232,1768.29,1388.78,1164.76,813.62,2.9,8.3,0.2,1.4,0.0,8.100000000000001
2016-01-15,금요일,180422.8,2436.0,95.232,1767.07,1387.16,1161.8,810.99,4.2,10.6,-0.5,0.0,0.0,11.1
2016-01-16,토요일,146096.4,2473.0,95.232,1766.01,1384.83,1158.36,808.45,5.7,10.4,2.3,6.4,0.0,8.100000000000001
2016-01-17,일요일,0.0,0.0,95.232,1765.34,1383.82,1156.54,806.98,6.6,10.3,5.1,9.5,14.2,5.200000000000001
2016-01-18,월요일,171395.0,2513.0,95.232,1762.48,1382.41,1154.25,805.51,2.3,6.9,-4.0,2.9,0.0,10.9
2016-01-19,화요일,162940.0,2587.0,95.232,1757.5,1379.99,1150.54,802.26,-3.1,0.7,-5.4,0.1,0.0,6.1000000000000005
2016-01-20,수요일,156328.5,2498.0,95.232,1755.68,1378.33,1147.64,799.66,-2.5,2.0,-6.6,2.8,0.0,8.6
2016-01-21,목요일,85548.7,2629.0,95.232,1754.06,1376.56,1144.35,796.97,-0.9,3.3,-3.5,6.8,0.0,6.8
2016-01-22,금요일,156445.0,2752.0,95.232,1752.71,1374.76,1140.8,794.09,0.8,6.7,-2.7,4.8,0.0,9.4
2016-01-23,토요일,136158.0,2552.0,95.232,1752.23,1373.35,1137.97,791.49,-2.9,1.1,-8.5,5.0,0.0,9.6
2016-01-24,일요일,0.0,0.0,95.232,1749.5,1372.69,1136.39,789.87,-7.6,-4.2,-10.2,1.9,0.0,5.999999999999999
2016-01-25,월요일,144853.3,2640.0,95.232,1750.08,1371.97,1135.33,789.82,-2.6,2.4,-8.2,0.0,0.0,10.6
2016-01-26,화요일,110429.5,2763.0,95.232,1747.4,1370.04,1131.93,786.53,1.4,7.3,-3.9,0.0,0.0,11.2
2016-01-27,수요일,153214.0,2831.0,95.232,1745.75,1368.42,1128.92,784.35,4.7,9.2,0.7,2.5,0.0,8.5
2016-01-28,목요일,118587.0,2743.0,95.232,1744.07,1366.94,1126.12,782.8,4.4,6.0,2.1,10.0,24.3,3.9
2016-01-29,금요일,183726.0,2999.0,95.232,1741.31,1365.79,1124.11,781.19,4.6,5.3,3.5,10.0,20.8,1.7999999999999998
2016-01-30,토요일,115350.0,2966.0,95.232,1741.36,1364.86,1122.4,779.78,6.1,8.7,4.5,6.8,0.0,4.199999999999999
2016-01-31,일요일,0.0,0.0,95.232,1740.05,1364.37,1120.97,778.88,3.8,7.0,1.4,3.3,0.0,5.6
2016-02-01,월요일,183779.0,3089.0,95.64,1735.31,1363.04,1118.75,777.67,1.7,7.3,-1.2,2.9,0.0,8.5
2016-02-02,화요일,133900.0,2892.0,95.64,1733.68,1362.19,1117.02,775.91,1.2,7.9,-4.0,0.8,0.0,11.9
2016-02-03,수요일,160674.0,3176.0,95.64,1734.87,1361.18,1115.02,774.5,1.9,7.5,-2.8,0.0,0.0,10.3
2016-02-04,목요일,117904.0,3120.0,95.64,1734.59,1360.25,1113.01,773.08,3.2,7.3,-0.8,3.9,0.0,8.1
2016-02-05,금요일,233384.5,3168.0,95.64,1733.9,1359.75,1111.98,771.95,4.1,10.1,0.3,0.6,0.0,9.8
2016-02-06,토요일,197174.2,2726.0,95.64,1734.08,1359.05,1110.29,771.05,2.4,7.0,-0.7,0.1,0.0,7.7
2016-02-07,일요일,7795.0,2287.0,95.64,1735.11,1358.65,1109.39,770.26,3.3,9.4,-1.7,4.0,0.0,11.1
2016-02-08,월요일,0.0,0.0,95.64,1733.51,1358.5,1109.05,770.06,4.5,8.8,-1.2,0.0,0.0,10.0
2016-02-09,화요일,0.0,0.0,95.64,1730.38,1358.41,1108.73,769.43,6.4,11.9,3.4,0.0,0.0,8.5
2016-02-10,수요일,305.0,1752.0,95.64,1727.58,1358.06,1108.27,768.75,6.3,11.8,1.3,0.0,0.0,10.5
2016-02-11,목요일,184573.0,2884.0,95.64,1727.48,1356.99,1107.26,767.72,9.2,14.7,4.0,5.5,0.0,10.7
2016-02-12,금요일,388787.8,2543.0,95.64,1725.91,1355.48,1104.71,767.0,12.3,13.9,9.7,10.0,32.7,4.200000000000001
2016-02-13,토요일,193490.6,2325.0,95.64,1725.33,1354.01,1102.64,765.77,14.5,15.8,12.5,9.3,28.9,3.3000000000000007
2016-02-14,일요일,0.0,0.0,95.64,1726.28,1353.17,1101.51,765.24,6.7,15.2,-0.4,5.8,0.0,15.6
2016-02-15,월요일,303740.5,2588.0,95.64,1725.34,1352.28,1100.93,764.67,-0.4,4.2,-3.5,1.0,0.0,7.7
2016-02-16,화요일,261719.0,2914.0,95.64,1720.43,1350.34,1098.49,762.99,2.2,6.3,-2.3,2.6,0.0,8.6
2016-02-17,수요일,235259.0,2634.0,95.64,1718.39,1348.76,1096.73,761.74,3.9,9.6,-0.6,0.0,0.0,10.2
2016-02-18,목요일,190891.0,2642.0,95.64,1717.46,1347.55,1095.22,759.12,5.7,9.9,0.3,1.6,0.0,9.6
2016-02-19,금요일,290897.5,2674.0,95.64,1715.9,1346.59,1094.2,758.41,8.9,14.8,5.7,6.5,0.0,9.1
2016-02-20,토요일,245116.4,2494.0,95.64,1715.64,1345.74,1093.17,758.13,7.8,11.6,3.8,7.4,1.4,7.8
2016-02-21,일요일,0.0,0.0,95.64,1713.38,1345.43,1092.36,757.66,3.8,8.9,-0.2,1.0,0.0,9.1
2016-02-22,월요일,300304.0,2763.0,95.64,1712.49,1344.98,1092.17,757.38,6.6,10.4,3.1,10.0,0.0,7.300000000000001
