지점명,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),최대 순간 풍속(m/s),최대 풍속(m/s),평균 풍속(m/s),최소 상대습도(%),평균 상대습도(%),평균 현지기압(hPa),최저 해면기압(hPa),합계 일사량(MJ/m2),평균 전운량(1/10),평균 중하층운량(1/10),일교차(°C)
부산,2016-01-01,5.3,1.1,10.9,0.0,11.4,7.4,4.3,33.0,52.1,1021.3,1027.5,11.44,1.4,0.0,9.8
부산,2016-01-02,8.1,4.6,12.2,0.0,11.0,7.2,4.0,52.0,62.9,1015.1,1020.6,6.86,4.6,2.3,7.6
부산,2016-01-03,11.4,7.9,16.6,0.0,8.7,5.5,2.7,45.0,68.3,1010.5,1017.3,10.02,1.5,0.0,8.700000000000001
부산,2016-01-04,10.4,7.6,15.2,0.0,9.2,6.4,2.7,27.0,46.3,1012.1,1017.7,9.34,0.8,0.0,7.6
부산,2016-01-05,5.3,3.2,8.1,0.2,8.7,5.6,3.1,19.0,40.9,1015.3,1022.3,2.19,7.0,3.8,4.8999999999999995
부산,2016-01-06,4.8,1.8,9.9,0.2,10.4,6.8,2.9,17.0,34.5,1013.5,1019.6,8.8,5.6,1.0,8.1
부산,2016-01-07,3.9,1.1,8.5,0.2,10.0,4.9,2.7,31.0,47.3,1013.1,1020.6,11.11,0.9,0.3,7.4
부산,2016-01-08,2.5,-0.5,6.9,0.2,12.9,5.9,2.9,31.0,44.1,1012.5,1019.6,11.6,0.8,0.8,7.4
부산,2016-01-09,3.8,-0.4,9.4,0.2,10.0,5.3,2.8,35.0,46.1,1015.1,1022.6,11.36,0.0,0.0,9.8
부산,2016-01-10,4.8,0.5,10.1,0.2,7.8,4.6,1.9,32.0,46.1,1016.3,1023.5,10.71,0.4,0.0,9.6
부산,2016-01-11,4.5,1.7,10.1,0.2,11.6,8.0,3.2,18.0,27.6,1014.5,1020.8,10.3,4.6,0.6,8.4
부산,2016-01-12,2.5,-0.9,7.9,0.2,13.0,7.5,4.0,15.0,26.4,1011.6,1018.3,12.12,1.1,0.0,8.8
부산,2016-01-13,1.5,-2.2,6.9,0.2,13.4,6.4,3.0,29.0,46.4,1010.3,1016.8,11.69,0.3,0.3,9.100000000000001
부산,2016-01-14,2.9,0.2,8.3,0.2,9.2,6.0,3.0,38.0,50.3,1012.3,1019.5,11.43,1.4,1.4,8.100000000000001
부산,2016-01-15,4.2,-0.5,10.6,0.2,6.6,3.7,1.6,32.0,45.6,1012.7,1019.3,10.14,0.0,0.0,11.1
부산,2016-01-16,5.7,2.3,10.4,0.2,7.0,3.9,1.2,42.0,50.9,1013.3,1020.4,4.78,6.4,6.4,8.100000000000001
부산,2016-01-17,6.6,5.1,10.3,14.2,9.3,5.5,3.2,49.0,77.4,1006.4,1008.9,1.73,9.5,7.3,5.200000000000001
부산,2016-01-18,2.3,-4.0,6.9,14.2,18.9,12.5,5.8,34.0,57.4,1001.1,1006.4,11.41,2.9,2.6,10.9
부산,2016-01-19,-3.1,-5.4,0.7,14.2,23.5,12.4,7.4,27.0,36.8,1008.3,1014.5,13.25,0.1,0.1,6.1000000000000005
부산,2016-01-20,-2.5,-6.6,2.0,14.2,13.4,8.5,4.0,28.0,36.1,1017.5,1021.5,11.09,2.8,0.0,8.6
부산,2016-01-21,-0.9,-3.5,3.3,14.2,13.0,7.9,3.8,21.0,29.9,1015.9,1022.5,5.93,6.8,3.1,6.8
부산,2016-01-22,0.8,-2.7,6.7,14.2,15.0,9.7,5.8,17.0,23.9,1017.7,1025.0,12.14,4.8,0.0,9.4
부산,2016-01-23,-2.9,-8.5,1.1,0.0,16.1,9.2,3.9,18.0,32.0,1016.7,1023.4,7.87,5.0,1.9,9.6
부산,2016-01-24,-7.6,-10.2,-4.2,0.0,16.3,9.5,4.2,23.0,45.4,1013.2,1018.5,13.4,1.9,1.9,5.999999999999999
부산,2016-01-25,-2.6,-8.2,2.4,0.0,13.0,5.8,3.2,33.0,44.8,1017.7,1024.4,13.5,0.0,0.0,10.6
부산,2016-01-26,1.4,-3.9,7.3,0.0,12.5,8.0,4.2,37.0,49.4,1017.7,1023.8,13.09,0.0,0.0,11.2
부산,2016-01-27,4.7,0.7,9.2,0.0,9.5,5.8,3.8,35.0,52.5,1020.5,1027.6,11.28,2.5,0.0,8.5
부산,2016-01-28,4.4,2.1,6.0,24.3,9.7,5.5,2.5,39.0,69.9,1018.5,1024.0,1.27,10.0,7.5,3.9
부산,2016-01-29,4.6,3.5,5.3,20.8,12.4,5.9,4.8,83.0,91.9,1013.3,1019.9,2.35,10.0,6.6,1.7999999999999998
부산,2016-01-30,6.1,4.5,8.7,20.8,11.0,6.0,3.6,68.0,78.6,1015.3,1021.1,4.73,6.8,6.5,4.199999999999999
부산,2016-01-31,3.8,1.4,7.0,20.8,10.1,6.8,3.3,38.0,62.6,1017.5,1023.8,9.46,3.3,0.1,5.6
부산,2016-02-01,1.7,-1.2,7.3,20.8,13.9,8.6,5.2,25.0,34.3,1016.5,1023.1,13.74,2.9,0.4,8.5
부산,2016-02-02,1.2,-4.0,7.9,20.8,13.5,8.9,4.6,24.0,30.8,1016.3,1023.4,14.25,0.8,0.6,11.9
부산,2016-02-03,1.9,-2.8,7.5,20.8,14.0,7.8,4.0,26.0,37.3,1017.1,1024.2,15.21,0.0,0.0,10.3
부산,2016-02-04,3.2,-0.8,7.3,20.8,10.1,5.0,2.6,30.0,41.0,1015.6,1021.8,11.15,3.9,0.0,8.1
부산,2016-02-05,4.1,0.3,10.1,20.8,10.4,5.7,2.8,17.0,29.4,1012.5,1019.2,14.73,0.6,0.0,9.799999999999999
부산,2016-02-06,2.4,-0.7,7.0,20.8,11.6,7.0,3.6,27.0,37.8,1012.2,1019.0,14.78,0.1,0.1,7.7
부산,2016-02-07,3.3,-1.7,9.4,20.8,11.3,7.4,3.0,33.0,43.6,1012.3,1019.1,14.26,4.0,4.0,11.1
부산,2016-02-08,4.5,-1.2,8.8,20.8,15.5,9.7,4.7,26.0,39.9,1009.0,1014.7,15.04,0.0,0.0,10.0
부산,2016-02-09,6.4,3.4,11.9,20.8,17.5,10.5,4.3,18.0,31.5,1011.6,1014.1,15.55,0.0,0.0,8.5
부산,2016-02-10,6.3,1.3,11.8,20.8,11.3,7.6,2.2,22.0,40.4,1018.0,1023.7,15.55,0.0,0.0,10.5
부산,2016-02-11,9.2,4.0,14.7,20.8,7.0,4.8,2.0,49.0,63.9,1018.7,1025.7,11.75,5.5,1.1,10.7
부산,2016-02-12,12.3,9.7,13.9,32.7,12.7,8.2,2.8,71.0,90.9,1012.3,1017.3,0.71,10.0,6.4,4.200000000000001
부산,2016-02-13,14.5,12.5,15.8,28.9,15.6,10.7,3.0,91.0,98.8,1000.6,1000.4,1.58,9.3,7.8,3.3000000000000007
부산,2016-02-14,6.7,-0.4,15.2,28.9,16.8,10.7,5.1,37.0,59.0,1001.3,1000.4,11.48,5.8,3.6,15.6
부산,2016-02-15,-0.4,-3.5,4.2,28.9,17.4,11.1,4.6,23.0,40.6,1009.6,1016.4,17.2,1.0,0.1,7.7
부산,2016-02-16,2.2,-2.3,6.3,28.9,14.4,9.5,5.7,39.0,52.3,1010.0,1015.6,15.25,2.6,2.6,8.6
부산,2016-02-17,3.9,-0.6,9.6,28.9,11.1,7.7,3.4,22.0,41.8,1015.2,1019.7,17.2,0.0,0.0,10.2
부산,2016-02-18,5.7,0.3,9.9,28.9,10.9,7.8,4.5,37.0,49.4,1015.2,1021.6,15.81,1.6,0.0,9.6
부산,2016-02-19,8.9,5.7,14.8,28.9,13.6,7.6,3.5,22.0,51.1,1017.2,1024.1,12.71,6.5,4.3,9.100000000000001
