,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,0.0,6.8,-5.0,0.0,0.0,11.8
1,2016년 1월 2일,3.5,11.7,-2.5,0.0,0.0,14.2
2,2016년 1월 3일,5.0,13.7,0.6,0.0,0.0,13.1
3,2016년 1월 4일,4.2,11.1,-1.1,0.0,0.0,12.2
4,2016년 1월 5일,0.4,5.2,-2.9,0.0,0.0,8.1
5,2016년 1월 6일,0.6,6.2,-5.8,0.0,0.0,12.0
6,2016년 1월 7일,1.2,4.3,-0.4,0.0,0.0,4.7
7,2016년 1월 8일,-0.2,3.1,-2.7,0.0,0.0,5.800000000000001
8,2016년 1월 9일,0.5,5.5,-2.4,0.0,0.0,7.9
9,2016년 1월 10일,1.1,7.7,-3.6,0.0,0.0,11.3
10,2016년 1월 11일,-0.3,5.0,-4.3,0.0,0.0,9.3
11,2016년 1월 12일,-2.2,3.8,-7.9,0.0,0.0,11.7
12,2016년 1월 13일,-1.6,0.8,-4.2,0.0,1.0,5.0
13,2016년 1월 14일,-1.2,3.7,-4.7,0.0,0.0,8.4
14,2016년 1월 15일,-0.1,7.3,-5.7,0.0,0.0,13.0
15,2016년 1월 16일,1.6,9.2,-2.7,0.0,0.0,11.9
16,2016년 1월 17일,1.6,5.2,-1.3,0.0,3.0,6.5
17,2016년 1월 18일,-1.8,2.4,-6.0,0.0,2.5,8.4
18,2016년 1월 19일,-7.2,-5.2,-9.9,0.0,1.0,4.7
19,2016년 1월 20일,-7.4,-3.1,-12.2,0.0,0.0,9.1
20,2016년 1월 21일,-5.6,-1.1,-9.0,0.0,0.0,7.9
21,2016년 1월 22일,-5.5,0.5,-12.4,0.0,0.0,12.9
22,2016년 1월 23일,-7.2,-4.4,-11.0,0.0,0.0,6.6
23,2016년 1월 24일,-11.2,-8.2,-13.1,0.0,7.5,4.9
24,2016년 1월 25일,-8.6,-1.0,-17.0,0.0,0.0,16.0
25,2016년 1월 26일,-2.2,2.5,-6.9,0.0,0.0,9.4
26,2016년 1월 27일,-0.9,6.6,-5.1,0.0,0.0,11.7
27,2016년 1월 28일,0.8,3.3,-3.8,0.0,8.5,7.1
28,2016년 1월 29일,3.9,5.0,2.6,0.0,6.5,2.4
29,2016년 1월 30일,3.2,8.3,-0.9,0.0,0.0,9.2
30,2016년 1월 31일,-1.5,2.5,-4.0,0.0,0.0,6.5
31,2016년 2월 1일,-3.5,1.3,-6.8,0.0,0.0,8.1
32,2016년 2월 2일,-4.1,2.4,-9.6,0.0,0.0,12.0
33,2016년 2월 3일,-2.7,5.0,-9.1,0.0,0.0,14.1
34,2016년 2월 4일,-1.6,5.5,-7.6,0.0,0.0,13.1
35,2016년 2월 5일,-1.7,5.3,-7.1,0.0,0.0,12.4
36,2016년 2월 6일,-2.2,2.6,-6.3,0.0,0.0,8.9
37,2016년 2월 7일,-3.4,5.3,-10.0,0.0,0.0,15.3
38,2016년 2월 8일,1.4,7.6,-7.3,0.0,0.0,14.9
39,2016년 2월 9일,1.6,7.1,-3.3,0.0,0.0,10.4
40,2016년 2월 10일,2.5,13.2,-6.0,0.0,0.0,19.2
41,2016년 2월 11일,8.7,17.1,-0.6,0.0,0.0,17.700000000000003
42,2016년 2월 12일,11.7,13.4,8.1,0.0,25.0,5.300000000000001
43,2016년 2월 13일,14.3,20.5,9.9,0.0,8.0,10.6
44,2016년 2월 14일,0.0,9.9,-3.5,0.0,1.0,13.4
45,2016년 2월 15일,-3.2,-0.1,-5.8,0.0,0.0,5.7
46,2016년 2월 16일,-0.5,2.4,-3.5,0.0,1.0,5.9
47,2016년 2월 17일,0.3,6.3,-4.2,0.0,0.5,10.5
48,2016년 2월 18일,2.1,10.2,-4.2,0.0,0.0,14.4
49,2016년 2월 19일,4.2,11.2,-1.8,0.0,0.0,13.0
50,2016년 2월 20일,2.8,10.0,-2.2,0.0,0.0,12.2
51,2016년 2월 21일,-0.1,5.8,-5.6,0.0,0.0,11.4
52,2016년 2월 22일,2.1,6.0,-2.3,0.0,0.0,8.3
53,2016년 2월 23일,2.7,8.9,-2.0,0.0,0.0,10.9
54,2016년 2월 24일,-2.1,2.5,-5.3,0.0,0.0,7.8
55,2016년 2월 25일,-1.6,6.3,-7.9,0.0,0.0,14.2
56,2016년 2월 26일,0.2,4.6,-5.0,0.0,0.5,9.6
57,2016년 2월 27일,6.2,12.8,0.3,0.0,0.0,12.5
58,2016년 2월 28일,4.7,13.4,0.5,0.0,9.0,12.9
59,2016년 2월 29일,-3.0,0.6,-6.9,0.0,3.5,7.5
60,2016년 3월 1일,-2.7,3.8,-9.4,0.0,0.0,13.2
61,2016년 3월 2일,1.8,11.0,-6.2,0.0,0.0,17.2
