,date,요일,깻잎_거래량(kg),깻잎_가격(원/kg),깻잎_거래량의_1주전_평균,깻잎_가격의_1주전_평균,깻잎_거래량의_2주전_평균,깻잎_가격의_2주전_평균,계절_가을,계절_겨울,계절_봄,계절_여름
0,2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,2016-01-02,토요일,4374.9,13242.0,4374.9,13242.0,4374.9,13242.0,0,1,0,0
2,2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3,2016-01-04,월요일,122613.5,9923.0,122613.5,9923.0,122613.5,9923.0,0,1,0,0
4,2016-01-05,화요일,79055.9,9529.0,79055.9,9529.0,79055.9,9529.0,0,1,0,0
5,2016-01-06,수요일,78532.8,8123.0,78532.8,8123.0,78532.8,8123.0,0,1,0,0
6,2016-01-07,목요일,75987.7,6793.0,75987.7,6793.0,75987.7,6793.0,0,1,0,0
7,2016-01-08,금요일,79078.7,5644.0,79078.7,5644.0,79078.7,5644.0,0,1,0,0
8,2016-01-09,토요일,74088.1,5128.0,74088.1,5128.0,74088.1,5128.0,0,1,0,0
9,2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
10,2016-01-11,월요일,97151.3,5218.0,84892.78333333334,7523.333333333333,97151.3,5218.0,0,1,0,0
11,2016-01-12,화요일,67584.4,5263.0,84892.78333333334,7523.333333333333,67584.4,5263.0,0,1,0,0
12,2016-01-13,수요일,61144.8,5302.0,84892.78333333334,7523.333333333333,61144.8,5302.0,0,1,0,0
13,2016-01-14,목요일,64268.3,5283.0,84892.78333333334,7523.333333333333,64268.3,5283.0,0,1,0,0
14,2016-01-15,금요일,69141.1,5251.0,84892.78333333334,7523.333333333333,69141.1,5251.0,0,1,0,0
15,2016-01-16,토요일,71171.3,5391.0,84892.78333333334,7523.333333333333,71171.3,5391.0,0,1,0,0
16,2016-01-17,일요일,0.0,0.0,84892.78333333334,7523.333333333333,0.0,0.0,0,1,0,0
17,2016-01-18,월요일,88950.8,5707.0,71743.53333333334,5284.666666666667,78318.15833333335,6404.0,0,1,0,0
18,2016-01-19,화요일,55407.3,6285.0,71743.53333333334,5284.666666666667,78318.15833333335,6404.0,0,1,0,0
19,2016-01-20,수요일,61993.4,6425.0,71743.53333333334,5284.666666666667,78318.15833333335,6404.0,0,1,0,0
20,2016-01-21,목요일,50486.3,6502.0,71743.53333333334,5284.666666666667,78318.15833333335,6404.0,0,1,0,0
21,2016-01-22,금요일,55884.2,7464.0,71743.53333333334,5284.666666666667,78318.15833333335,6404.0,0,1,0,0
