date,요일,샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg),샤인마스캇_거래량의_1주전_평균,샤인마스캇_가격의_1주전_평균,샤인마스캇_거래량의_2주전_평균,샤인마스캇_가격의_2주전_평균,계절
2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-02,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-04,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-05,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-06,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-07,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-08,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-09,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-11,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-12,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-13,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-14,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-15,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-16,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-17,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-18,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-19,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-20,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-21,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-22,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-23,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-24,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-25,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-26,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-27,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-28,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-29,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-30,토요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-31,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-01,월요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-02,화요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-03,수요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-04,목요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-02-05,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
