date,요일,캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),캠벨얼리_거래량의_1주전_평균,캠벨얼리_가격의_1주전_평균,캠벨얼리_거래량의_2주전_평균,캠벨얼리_가격의_2주전_평균,계절
2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-02,토요일,880.0,2014.0,0.0,0.0,0.0,0.0,0
2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-04,월요일,2703.8,3885.0,0.0,0.0,0.0,0.0,0
2016-01-05,화요일,8810.0,2853.0,0.0,0.0,0.0,0.0,0
2016-01-06,수요일,7487.0,2119.0,0.0,0.0,0.0,0.0,0
2016-01-07,목요일,4687.8,2997.0,0.0,0.0,0.0,0.0,0
2016-01-08,금요일,4916.0,2734.0,0.0,0.0,0.0,0.0,0
2016-01-09,토요일,1766.0,4773.0,0.0,0.0,0.0,0.0,0
2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-11,월요일,2039.8,2133.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-12,화요일,920.0,3072.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-13,수요일,2674.8,2261.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-14,목요일,1840.4,2567.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-15,금요일,836.4,6504.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-16,토요일,1355.0,1531.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-17,일요일,0.0,0.0,5061.766666666666,3226.8333333333335,0.0,0.0,0
2016-01-18,월요일,1918.8,4871.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-19,화요일,1833.0,1674.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-20,수요일,442.8,3171.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-21,목요일,897.6,2917.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-22,금요일,1632.0,1848.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-23,토요일,164.0,1707.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-24,일요일,0.0,0.0,1611.0666666666666,3011.3333333333335,3336.4166666666665,3119.0833333333335,0
2016-01-25,월요일,934.8,3415.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-01-26,화요일,533.0,3415.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-01-27,수요일,1151.8,2674.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-01-28,목요일,3906.0,843.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-01-29,금요일,2873.8,3369.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-01-30,토요일,934.8,3316.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-01-31,일요일,0.0,0.0,1148.0333333333335,2698.0,1379.55,2854.6666666666665,0
2016-02-01,월요일,1409.8,3429.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-02,화요일,2298.8,2628.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-03,수요일,2261.0,4920.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-04,목요일,4883.6,3642.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-05,금요일,164.0,5854.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-06,토요일,1619.8,2357.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-07,일요일,0.0,0.0,1722.3666666666668,2838.6666666666665,1435.1999999999998,2768.3333333333335,0
2016-02-08,월요일,0.0,0.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-09,화요일,0.0,0.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-10,수요일,0.0,0.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-11,목요일,0.0,0.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-12,금요일,2156.6,3581.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-13,토요일,4098.6,4754.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-14,일요일,0.0,0.0,2106.1666666666665,3805.0,1914.2666666666667,3321.8333333333335,0
2016-02-15,월요일,934.8,3376.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-16,화요일,2902.8,5450.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-17,수요일,918.4,3356.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-18,목요일,500.2,5518.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-19,금요일,2804.4,3320.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-20,토요일,124.0,4359.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-21,일요일,0.0,0.0,3127.6000000000004,4167.5,2361.525,3895.625,0
2016-02-22,월요일,3567.0,4779.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-23,화요일,934.8,3421.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-24,수요일,1902.4,4904.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-25,목요일,934.8,3314.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-26,금요일,2115.6,3529.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-27,토요일,3542.4,4128.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-28,일요일,0.0,0.0,1364.1000000000001,4229.833333333333,1804.9750000000001,4214.25,0
2016-02-29,월요일,164.0,6098.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,0
2016-03-01,화요일,1672.8,4843.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,1
2016-03-02,수요일,1369.4,4534.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,1
2016-03-03,목요일,1544.2,4482.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,1
2016-03-04,금요일,1066.0,3818.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,1
2016-03-05,토요일,2730.6,4439.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,1
2016-03-06,일요일,0.0,0.0,2166.1666666666665,4012.5,1765.1333333333332,4121.166666666667,1
2016-03-07,월요일,934.8,3617.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-08,화요일,2197.6,3998.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-09,수요일,1869.6,3598.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-10,목요일,2214.0,6445.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-11,금요일,2009.0,4073.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-12,토요일,0.0,0.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-13,일요일,0.0,0.0,1424.5,4702.333333333333,1795.333333333333,4357.416666666667,1
2016-03-14,월요일,467.4,3902.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-15,화요일,934.8,4024.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-16,수요일,2156.6,4698.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-17,목요일,4229.8,5071.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-18,금요일,2755.2,4115.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-19,토요일,2599.2,6314.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-20,일요일,0.0,0.0,1845.0,4346.2,1615.6363636363637,4540.454545454545,1
2016-03-21,월요일,917.8,4127.0,2190.5,4687.333333333333,2033.4545454545455,4532.272727272727,1
2016-03-22,화요일,98.4,5620.0,2190.5,4687.333333333333,2033.4545454545455,4532.272727272727,1
2016-03-23,수요일,1722.4,4414.0,2190.5,4687.333333333333,2033.4545454545455,4532.272727272727,1
2016-03-24,목요일,7429.2,5269.0,2190.5,4687.333333333333,2033.4545454545455,4532.272727272727,1
2016-03-25,금요일,1321.0,5915.0,2190.5,4687.333333333333,2033.4545454545455,4532.272727272727,1
