,date,요일,토마토_거래량(kg),토마토_가격(원/kg),토마토_거래량의_1주전_평균,토마토_가격의_1주전_평균,토마토_거래량의_2주전_평균,토마토_가격의_2주전_평균,계절_가을,계절_겨울,계절_봄,계절_여름
0,2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
1,2016-01-02,토요일,30950.0,1621.0,30950.0,1621.0,30950.0,1621.0,0,1,0,0
2,2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3,2016-01-04,월요일,291057.0,1834.0,291057.0,1834.0,291057.0,1834.0,0,1,0,0
4,2016-01-05,화요일,194626.5,1833.0,194626.5,1833.0,194626.5,1833.0,0,1,0,0
5,2016-01-06,수요일,178811.0,1999.0,178811.0,1999.0,178811.0,1999.0,0,1,0,0
6,2016-01-07,목요일,107346.3,1921.0,107346.3,1921.0,107346.3,1921.0,0,1,0,0
7,2016-01-08,금요일,190624.0,2107.0,190624.0,2107.0,190624.0,2107.0,0,1,0,0
8,2016-01-09,토요일,137028.0,2111.0,137028.0,2111.0,137028.0,2111.0,0,1,0,0
9,2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
10,2016-01-11,월요일,199396.0,2170.0,183248.80000000002,1967.5,199396.0,2170.0,0,1,0,0
11,2016-01-12,화요일,170969.0,2281.0,183248.80000000002,1967.5,170969.0,2281.0,0,1,0,0
12,2016-01-13,수요일,162336.0,2488.0,183248.80000000002,1967.5,162336.0,2488.0,0,1,0,0
13,2016-01-14,목요일,103103.0,2344.0,183248.80000000002,1967.5,103103.0,2344.0,0,1,0,0
14,2016-01-15,금요일,180422.8,2436.0,183248.80000000002,1967.5,180422.8,2436.0,0,1,0,0
15,2016-01-16,토요일,146096.4,2473.0,183248.80000000002,1967.5,146096.4,2473.0,0,1,0,0
16,2016-01-17,일요일,0.0,0.0,183248.80000000002,1967.5,0.0,0.0,0,1,0,0
17,2016-01-18,월요일,171395.0,2513.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
18,2016-01-19,화요일,162940.0,2587.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
19,2016-01-20,수요일,156328.5,2498.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
20,2016-01-21,목요일,85548.7,2629.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
21,2016-01-22,금요일,156445.0,2752.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
22,2016-01-23,토요일,136158.0,2552.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
23,2016-01-24,일요일,0.0,0.0,160387.2,2365.3333333333335,171818.0,2166.4166666666665,0,1,0,0
24,2016-01-25,월요일,144853.3,2640.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
25,2016-01-26,화요일,110429.5,2763.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
26,2016-01-27,수요일,153214.0,2831.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
27,2016-01-28,목요일,118587.0,2743.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
28,2016-01-29,금요일,183726.0,2999.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
29,2016-01-30,토요일,115350.0,2966.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
30,2016-01-31,일요일,0.0,0.0,144802.53333333333,2588.5,152594.86666666667,2476.9166666666665,0,1,0,0
31,2016-02-01,월요일,183779.0,3089.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
32,2016-02-02,화요일,133900.0,2892.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
33,2016-02-03,수요일,160674.0,3176.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
34,2016-02-04,목요일,117904.0,3120.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
35,2016-02-05,금요일,233384.5,3168.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
36,2016-02-06,토요일,197174.2,2726.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
37,2016-02-07,일요일,7795.0,2287.0,137693.30000000002,2823.6666666666665,141247.91666666666,2706.0833333333335,0,1,0,0
38,2016-02-08,월요일,0.0,0.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
39,2016-02-09,화요일,0.0,0.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
40,2016-02-10,수요일,305.0,1752.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
41,2016-02-11,목요일,184573.0,2884.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
42,2016-02-12,금요일,388787.8,2543.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
43,2016-02-13,토요일,193490.6,2325.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
44,2016-02-14,일요일,0.0,0.0,147801.52857142856,2922.5714285714284,143136.1923076923,2876.923076923077,0,1,0,0
45,2016-02-15,월요일,303740.5,2588.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
46,2016-02-16,화요일,261719.0,2914.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
47,2016-02-17,수요일,235259.0,2634.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
48,2016-02-18,목요일,190891.0,2642.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
49,2016-02-19,금요일,290897.5,2674.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
50,2016-02-20,토요일,245116.4,2494.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
51,2016-02-21,일요일,0.0,0.0,191789.1,2376.0,163797.0090909091,2723.818181818182,0,1,0,0
52,2016-02-22,월요일,300304.0,2763.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
53,2016-02-23,화요일,232827.0,2690.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
54,2016-02-24,수요일,226304.6,2750.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
55,2016-02-25,목요일,215021.5,2852.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
56,2016-02-26,금요일,274837.5,2796.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
57,2016-02-27,토요일,272901.5,2771.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
58,2016-02-28,일요일,0.0,0.0,254603.9,2657.6666666666665,229477.97999999998,2545.0,0,1,0,0
59,2016-02-29,월요일,324991.5,2925.0,253699.35,2770.3333333333335,254151.625,2714.0,0,1,0,0
60,2016-03-01,화요일,229064.5,2762.0,253699.35,2770.3333333333335,254151.625,2714.0,0,0,1,0
61,2016-03-02,수요일,272724.5,3054.0,253699.35,2770.3333333333335,254151.625,2714.0,0,0,1,0
