date,요일,팽이버섯_거래량(kg),팽이버섯_가격(원/kg),팽이버섯_거래량의_1주전_평균,팽이버섯_가격의_1주전_평균,팽이버섯_거래량의_2주전_평균,팽이버섯_가격의_2주전_평균,계절
2016-01-01,금요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-02,토요일,14634.0,1474.0,0.0,0.0,0.0,0.0,0
2016-01-03,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-04,월요일,159800.0,1750.0,0.0,0.0,0.0,0.0,0
2016-01-05,화요일,153084.0,1822.0,0.0,0.0,0.0,0.0,0
2016-01-06,수요일,152693.1,1519.0,0.0,0.0,0.0,0.0,0
2016-01-07,목요일,148757.3,1365.0,0.0,0.0,0.0,0.0,0
2016-01-08,금요일,148426.1,1349.0,0.0,0.0,0.0,0.0,0
2016-01-09,토요일,149971.0,1273.0,0.0,0.0,0.0,0.0,0
2016-01-10,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0
2016-01-11,월요일,155995.5,1351.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-12,화요일,150776.0,1323.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-13,수요일,133402.0,1272.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-14,목요일,135709.1,1337.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-15,금요일,134537.2,1379.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-16,토요일,129197.5,1399.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-17,일요일,0.0,0.0,152121.91666666666,1513.0,0.0,0.0,0
2016-01-18,월요일,145088.7,1448.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-19,화요일,124294.0,1431.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-20,수요일,122699.3,1377.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-21,목요일,123335.0,1346.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-22,금요일,128350.9,1336.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-23,토요일,140093.0,1369.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-24,일요일,0.0,0.0,139936.21666666667,1343.5,146029.06666666668,1428.25,0
2016-01-25,월요일,133431.2,1562.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-01-26,화요일,130388.0,1545.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-01-27,수요일,128331.9,1599.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-01-28,목요일,133376.0,1745.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-01-29,금요일,142668.9,1826.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-01-30,토요일,140619.0,1946.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-01-31,일요일,0.0,0.0,130643.48333333334,1384.5,135289.85,1364.0,0
2016-02-01,월요일,149519.8,2047.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-02,화요일,135790.0,2088.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-03,수요일,139686.6,2122.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-04,목요일,144767.0,2161.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-05,금요일,150581.2,2081.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-06,토요일,158937.0,1971.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-07,일요일,10559.0,1820.0,134802.5,1703.8333333333333,132722.99166666667,1544.1666666666667,0
2016-02-08,월요일,0.0,0.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-09,화요일,0.0,0.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-10,수요일,800.0,1900.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-11,목요일,110381.1,2049.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-12,금요일,146993.3,1645.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-13,토요일,138126.0,1464.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-14,일요일,0.0,0.0,127120.08571428573,2041.4285714285713,130665.81538461539,1885.6153846153845,0
2016-02-15,월요일,150924.7,1372.0,99075.1,1764.5,116921.90909090909,1940.7272727272727,0
