지점,지점명,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),최다풍향(16방위),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),기사,안개 계속시간(hr)
159,부산,2016-01-01,5.3,1.1,730,10.9,1421,,,,,,,11.4,250,2252,7.4,340,444,4.3,3740,340,-3.9,33,1229,52.1,4.6,1021.3,1032.7,949,1027.5,2334,1030,9.8,9.3,1100,1.85,11.44,,,,,,1.4,0,4.2,-2.2,4.7,5,5.9,6.3,7.1,11.5,14.7,17.3,18.1,,3.1,,{연무}-0240. {연무}2040-{연무}{강도0}2100-2230.,
159,부산,2016-01-02,8.1,4.6,301,12.2,1515,,,,,,,11,270,439,7.2,270,128,4,3456,270,1.4,52,1046,62.9,6.8,1015.1,1027.7,1,1020.6,2341,1023.7,9.9,5.1,1000,1.28,6.86,,,,,,4.6,2.3,5.8,2.1,5.8,5.8,6.4,6.6,7.2,11.3,14.5,17.2,18,,2.7,,{연무}1630-{연무}{강도0}1800-{연무}{강도0}2100-{연무}{강도0}2400-,
159,부산,2016-01-03,11.4,7.9,803,16.6,1306,,,,,,,8.7,340,302,5.5,270,2221,2.7,2340,270,5.6,45,1308,68.3,9.1,1010.5,1020.8,917,1017.3,1444,1018.9,9.9,9.2,1200,1.8,10.02,,,,,,1.5,0,8.9,3.9,8.1,8,7.6,7.5,7.5,11.2,14.5,17.2,18,,4.7,,-{연무}-{연무}{강도0}0300-0540. {연무}1740-{연무}{강도0}1800-{연무}{강도0}2100-2140.,
159,부산,2016-01-04,10.4,7.6,626,15.2,1307,,,,,,,9.2,270,129,6.4,270,136,2.7,2309,290,-1.4,27,1904,46.3,5.8,1012.1,1023,2134,1017.7,111,1020.5,9.9,8.6,1300,1.6,9.34,,,,,,.8,0,7.9,3.6,8,8,8.2,8.2,8,11.1,14.3,17.1,18,,3.2,,{연무}0030-{연무}{강도0}0300-{연무}{강도0}0600-{연무}{강도0}0900-{연무}{강도0}1200-{연무}{강도0}1500-1550.,
159,부산,2016-01-05,5.3,3.2,1314,8.1,1,1.33,,,,,.2,8.7,20,1027,5.6,360,1028,3.1,2649,340,-7.6,19,2346,40.9,3.6,1015.3,1025.5,1014,1022.3,552,1024,9.9,0,1400,.44,2.19,,,,,,7,3.8,2.9,1.2,4.9,5.4,7.2,7.7,8,11.1,14.3,17.1,18,,1.3,.2,{비}1210-1330.,
159,부산,2016-01-06,4.8,1.8,737,9.9,1339,,,,,,,10.4,340,426,6.8,290,842,2.9,2548,320,-9.9,17,336,34.5,3,1013.5,1025.1,1,1019.6,1607,1022.1,9.9,7.7,1200,1.61,8.8,,,,,,5.6,1,4,0,4.6,4.9,6.1,6.7,7.6,11,14,16.9,17.9,,1.8,,,
159,부산,2016-01-07,3.9,1.1,744,8.5,1438,,,,,,,10,340,1316,4.9,320,1045,2.7,2346,360,-6.5,31,1347,47.3,3.8,1013.1,1024,1032,1020.6,426,1021.8,9.9,8.6,1200,1.88,11.11,,,,,,.9,.3,3.9,-2.3,4.8,5.1,6.4,6.8,7.4,11,14.1,17,18,,2.6,,,
159,부산,2016-01-08,2.5,-.5,750,6.9,1517,,,,,,,12.9,270,1105,5.9,140,506,2.9,2501,140,-8.7,31,1618,44.1,3.2,1012.5,1023.3,2345,1019.6,415,1021.3,9.9,9.1,1200,1.91,11.6,,,,,,.8,.8,2.2,-4.5,3.6,4.1,5.8,6.4,7.1,10.9,13.9,16.9,17.9,,2.3,,,
159,부산,2016-01-09,3.8,-.4,738,9.4,1415,,,,,,,10,180,130,5.3,250,1613,2.8,2447,250,-6.8,35,1307,46.1,3.7,1015.1,1025.8,948,1022.6,123,1023.8,9.9,9.4,1200,1.87,11.36,,,,,,0,0,3.2,-5.2,3.9,4.3,5.5,6,6.8,10.8,13.9,16.9,17.9,,2.6,,,
159,부산,2016-01-10,4.8,.5,654,10.1,1437,,,,,,,7.8,360,2400,4.6,340,2352,1.9,1666,340,-6,32,1419,46.1,3.9,1016.3,1026.9,1009,1023.5,1621,1025,10,8.8,1200,1.83,10.71,,,,,,.4,0,3.4,-5.5,4,4.3,5.5,5.9,6.6,10.6,13.8,16.8,17.8,,2.5,,,
