,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,-1.1,8.3,-8.2,0.0,0.0,16.5
1,2016년 1월 2일,1.4,12.4,-5.9,0.0,0.0,18.3
2,2016년 1월 3일,3.3,15.5,-4.6,0.0,0.0,20.1
3,2016년 1월 4일,3.7,12.5,-1.5,0.0,0.0,14.0
4,2016년 1월 5일,0.1,7.0,-4.2,0.0,0.0,11.2
5,2016년 1월 6일,0.3,6.2,-6.5,0.0,0.0,12.7
6,2016년 1월 7일,0.8,5.3,-2.8,0.0,0.0,8.1
7,2016년 1월 8일,-0.1,4.9,-4.1,0.0,0.0,9.0
8,2016년 1월 9일,1.0,6.2,-4.6,0.0,0.0,10.8
9,2016년 1월 10일,0.2,7.4,-5.6,0.0,0.0,13.0
10,2016년 1월 11일,-0.5,5.8,-4.8,0.0,0.0,10.6
11,2016년 1월 12일,-2.4,5.4,-8.6,0.0,0.0,14.0
12,2016년 1월 13일,-1.2,2.3,-7.2,0.0,0.0,9.5
13,2016년 1월 14일,-1.1,4.1,-5.7,0.0,0.0,9.8
14,2016년 1월 15일,-2.1,6.3,-8.6,0.0,0.0,14.899999999999999
15,2016년 1월 16일,-0.2,9.3,-5.9,0.0,0.0,15.200000000000001
16,2016년 1월 17일,-0.7,1.5,-3.5,0.0,4.5,5.0
17,2016년 1월 18일,-1.8,2.9,-6.5,0.0,0.4,9.4
18,2016년 1월 19일,-6.7,-4.2,-8.6,0.0,0.0,4.3999999999999995
19,2016년 1월 20일,-6.1,-0.8,-11.1,0.0,0.0,10.299999999999999
20,2016년 1월 21일,-4.3,1.0,-7.7,0.0,0.0,8.7
21,2016년 1월 22일,-3.8,1.7,-11.3,0.0,0.0,13.0
22,2016년 1월 23일,-6.8,-3.1,-11.0,0.0,0.0,7.9
23,2016년 1월 24일,-10.6,-8.2,-13.4,0.0,0.2,5.200000000000001
24,2016년 1월 25일,-5.2,0.6,-11.5,0.0,0.0,12.1
25,2016년 1월 26일,-2.4,2.5,-10.8,0.0,0.0,13.3
26,2016년 1월 27일,1.0,7.8,-5.5,0.0,0.0,13.3
27,2016년 1월 28일,-1.0,2.0,-6.1,0.0,5.7,8.1
28,2016년 1월 29일,0.8,1.5,0.3,0.0,9.9,1.2
29,2016년 1월 30일,2.0,5.7,0.2,0.0,0.0,5.5
30,2016년 1월 31일,-0.2,3.9,-3.2,0.0,0.0,7.1
31,2016년 2월 1일,-2.4,3.1,-6.7,0.0,0.0,9.8
32,2016년 2월 2일,-3.8,3.7,-10.1,0.0,0.0,13.8
33,2016년 2월 3일,-2.6,5.9,-10.7,0.0,0.0,16.6
34,2016년 2월 4일,-1.4,6.0,-9.5,0.0,0.0,15.5
35,2016년 2월 5일,-0.7,6.6,-7.2,0.0,0.0,13.8
36,2016년 2월 6일,-1.6,4.3,-6.2,0.0,0.0,10.5
37,2016년 2월 7일,-3.1,6.3,-10.4,0.0,0.0,16.7
38,2016년 2월 8일,0.3,7.4,-9.5,0.0,0.0,16.9
39,2016년 2월 9일,2.2,7.1,-3.9,0.0,0.0,11.0
40,2016년 2월 10일,1.0,11.6,-7.4,0.0,0.0,19.0
41,2016년 2월 11일,4.6,12.8,-4.5,0.0,0.0,17.3
42,2016년 2월 12일,8.0,10.7,5.3,0.0,24.3,5.3999999999999995
43,2016년 2월 13일,11.5,14.8,7.8,0.0,10.9,7.000000000000001
44,2016년 2월 14일,1.1,13.4,-3.6,0.0,0.3,17.0
45,2016년 2월 15일,-3.2,-0.1,-6.4,0.0,0.0,6.300000000000001
46,2016년 2월 16일,0.0,3.1,-3.4,0.0,0.0,6.5
47,2016년 2월 17일,0.4,6.3,-5.4,0.0,0.0,11.7
48,2016년 2월 18일,1.3,10.1,-7.0,0.0,0.0,17.1
49,2016년 2월 19일,5.5,12.0,-1.2,0.0,0.0,13.2
50,2016년 2월 20일,3.3,10.6,-1.2,0.0,0.0,11.799999999999999
51,2016년 2월 21일,0.3,6.2,-5.0,0.0,0.0,11.2
52,2016년 2월 22일,1.7,5.5,-3.6,0.0,0.0,9.1
53,2016년 2월 23일,2.7,10.0,-1.9,0.0,0.0,11.9
54,2016년 2월 24일,-1.4,5.1,-6.4,0.0,0.0,11.5
55,2016년 2월 25일,-0.6,5.9,-7.6,0.0,0.0,13.5
56,2016년 2월 26일,2.3,5.8,-1.3,0.0,0.1,7.1
57,2016년 2월 27일,5.7,12.5,0.6,0.0,0.0,11.9
58,2016년 2월 28일,4.3,14.4,-1.9,0.0,4.4,16.3
59,2016년 2월 29일,-2.4,1.0,-6.5,0.0,0.4,7.5
60,2016년 3월 1일,-2.3,5.3,-9.7,0.0,0.0,15.0
61,2016년 3월 2일,1.7,12.4,-7.3,0.0,0.0,19.7
62,2016년 3월 3일,5.4,17.2,-5.0,0.0,0.0,22.2
63,2016년 3월 4일,5.5,7.9,1.2,0.0,21.0,6.7
64,2016년 3월 5일,10.9,12.9,7.2,0.0,25.0,5.7
65,2016년 3월 6일,12.2,19.6,5.7,0.0,0.4,13.900000000000002
66,2016년 3월 7일,10.1,18.5,1.7,0.0,0.0,16.8
67,2016년 3월 8일,6.3,10.7,3.2,0.0,0.7,7.499999999999999
68,2016년 3월 9일,4.8,11.2,1.1,0.0,0.0,10.1
69,2016년 3월 10일,1.0,6.5,-2.5,0.0,0.0,9.0
70,2016년 3월 11일,-0.1,6.5,-7.0,0.0,0.0,13.5
71,2016년 3월 12일,1.5,9.6,-7.0,0.0,0.0,16.6
72,2016년 3월 13일,3.5,8.5,-0.4,0.0,0.0,8.9
73,2016년 3월 14일,3.2,10.9,-3.5,0.0,0.0,14.4
74,2016년 3월 15일,5.4,15.5,-5.3,0.0,0.0,20.8
75,2016년 3월 16일,8.4,18.5,2.0,0.0,0.0,16.5
76,2016년 3월 17일,9.2,20.2,-3.3,0.0,0.0,23.5
77,2016년 3월 18일,9.8,13.3,7.5,0.0,12.0,5.800000000000001
78,2016년 3월 19일,11.7,19.5,4.1,0.0,0.0,15.4
79,2016년 3월 20일,10.0,14.9,7.5,0.0,0.0,7.4
80,2016년 3월 21일,9.8,17.1,4.7,0.0,0.0,12.400000000000002
81,2016년 3월 22일,9.9,20.5,0.2,0.0,0.0,20.3
82,2016년 3월 23일,9.9,16.9,4.4,0.0,0.0,12.499999999999998
83,2016년 3월 24일,6.3,12.3,-1.7,0.0,0.0,14.0
84,2016년 3월 25일,6.1,11.9,2.2,0.0,0.1,9.7
85,2016년 3월 26일,5.3,11.9,-0.4,0.0,0.0,12.3
86,2016년 3월 27일,6.3,14.3,-1.6,0.0,0.0,15.9
87,2016년 3월 28일,7.9,18.8,-2.6,0.0,0.0,21.400000000000002
88,2016년 3월 29일,10.0,18.1,0.8,0.0,0.0,17.3
89,2016년 3월 30일,12.4,22.3,2.9,0.0,0.0,19.400000000000002
90,2016년 3월 31일,11.0,19.9,2.9,0.0,0.0,17.0
91,2016년 4월 1일,13.1,24.7,1.4,0.0,0.0,23.3
92,2016년 4월 2일,14.0,23.5,3.7,0.0,0.0,19.8
93,2016년 4월 3일,10.9,14.4,7.7,0.0,8.4,6.7
94,2016년 4월 4일,10.3,12.4,9.2,0.0,1.9,3.200000000000001
95,2016년 4월 5일,11.8,21.8,6.1,0.0,0.0,15.700000000000001
96,2016년 4월 6일,10.2,20.3,3.7,0.0,27.1,16.6
97,2016년 4월 7일,11.8,18.3,7.7,0.0,28.8,10.600000000000001
98,2016년 4월 8일,13.4,24.2,5.7,0.0,0.0,18.5
99,2016년 4월 9일,14.7,24.7,5.2,0.0,0.0,19.5
100,2016년 4월 10일,16.2,24.7,6.3,0.0,0.0,18.4
101,2016년 4월 11일,10.6,15.4,8.8,0.0,0.0,6.6
102,2016년 4월 12일,11.9,19.4,4.7,0.0,0.0,14.7
103,2016년 4월 13일,12.8,15.8,10.4,0.0,13.7,5.4
104,2016년 4월 14일,15.3,24.4,9.1,0.0,0.0,15.299999999999999
105,2016년 4월 15일,13.0,21.8,3.4,0.0,0.0,18.400000000000002
106,2016년 4월 16일,12.6,17.0,5.6,0.0,7.7,11.4
107,2016년 4월 17일,12.5,18.4,9.9,0.0,8.0,8.499999999999998
108,2016년 4월 18일,13.5,19.3,9.2,0.0,0.0,10.100000000000001
109,2016년 4월 19일,13.2,20.7,8.3,0.0,0.0,12.399999999999999
110,2016년 4월 20일,13.1,20.1,5.0,0.0,0.0,15.100000000000001
111,2016년 4월 21일,13.0,18.0,10.3,0.0,32.1,7.699999999999999
112,2016년 4월 22일,16.4,26.4,9.1,0.0,0.0,17.299999999999997
