,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,-0.7,6.4,-5.5,0.0,0.0,11.9
1,2016년 1월 2일,4.8,12.8,-1.0,0.0,0.0,13.8
2,2016년 1월 3일,5.1,15.1,-1.6,0.0,0.0,16.7
3,2016년 1월 4일,4.1,9.5,-2.8,0.0,0.0,12.3
4,2016년 1월 5일,-2.0,2.7,-5.0,0.0,0.0,7.7
5,2016년 1월 6일,-1.5,4.6,-8.1,0.0,0.0,12.7
6,2016년 1월 7일,0.0,3.5,-3.2,0.0,0.0,6.7
7,2016년 1월 8일,-0.7,3.2,-3.7,0.0,0.0,6.9
8,2016년 1월 9일,0.8,5.0,-2.0,0.0,0.0,7.0
9,2016년 1월 10일,-0.1,4.9,-4.9,0.0,0.0,9.8
10,2016년 1월 11일,-2.9,3.3,-7.2,0.0,0.0,10.5
11,2016년 1월 12일,-4.1,2.2,-10.2,0.0,0.0,12.4
12,2016년 1월 13일,-2.0,0.5,-4.2,0.0,0.2,4.7
13,2016년 1월 14일,-2.8,1.5,-7.5,0.0,0.0,9.0
14,2016년 1월 15일,-1.6,5.5,-7.2,0.0,0.0,12.7
15,2016년 1월 16일,-1.0,8.3,-6.8,0.0,0.0,15.1
16,2016년 1월 17일,-0.3,3.6,-3.4,0.0,5.0,7.0
17,2016년 1월 18일,-3.4,0.9,-7.4,0.0,0.3,8.3
18,2016년 1월 19일,-8.8,-6.5,-11.3,0.0,0.0,4.800000000000001
19,2016년 1월 20일,-7.9,-3.7,-10.8,0.0,0.0,7.1000000000000005
20,2016년 1월 21일,-6.8,-1.4,-10.3,0.0,0.0,8.9
21,2016년 1월 22일,-7.1,-1.0,-14.0,0.0,0.0,13.0
22,2016년 1월 23일,-8.4,-4.9,-11.7,0.0,0.0,6.799999999999999
23,2016년 1월 24일,-12.8,-9.2,-17.3,0.0,0.5,8.100000000000001
24,2016년 1월 25일,-8.7,-1.7,-17.4,0.0,0.0,15.7
25,2016년 1월 26일,-2.8,2.5,-6.3,0.0,0.1,8.8
26,2016년 1월 27일,-2.0,5.5,-7.6,0.0,0.0,13.1
27,2016년 1월 28일,-1.7,1.7,-7.7,0.0,2.0,9.4
28,2016년 1월 29일,1.7,4.3,-0.1,0.0,3.0,4.4
29,2016년 1월 30일,2.7,8.7,-1.1,0.0,0.0,9.8
30,2016년 1월 31일,-1.3,1.8,-4.0,0.0,0.0,5.8
31,2016년 2월 1일,-4.1,0.4,-7.7,0.0,0.0,8.1
32,2016년 2월 2일,-5.2,1.8,-11.8,0.0,0.0,13.6
33,2016년 2월 3일,-3.9,3.8,-11.5,0.0,0.0,15.3
34,2016년 2월 4일,-2.1,4.4,-9.3,0.0,0.0,13.7
35,2016년 2월 5일,-2.6,4.5,-9.3,0.0,0.0,13.8
36,2016년 2월 6일,-2.4,2.3,-7.5,0.0,0.0,9.8
37,2016년 2월 7일,-4.6,4.6,-12.1,0.0,0.0,16.7
38,2016년 2월 8일,0.8,6.8,-8.9,0.0,0.0,15.7
39,2016년 2월 9일,1.5,6.6,-4.1,0.0,0.0,10.7
40,2016년 2월 10일,0.5,13.4,-7.6,0.0,0.0,21.0
41,2016년 2월 11일,4.4,12.9,-4.7,0.0,0.5,17.6
42,2016년 2월 12일,8.2,11.8,4.7,0.0,22.5,7.1000000000000005
43,2016년 2월 13일,12.2,18.5,7.7,0.0,6.0,10.8
44,2016년 2월 14일,-0.8,9.0,-4.5,0.0,0.5,13.5
45,2016년 2월 15일,-4.3,-0.3,-7.7,0.0,0.0,7.4
46,2016년 2월 16일,-0.6,3.9,-4.2,0.0,1.0,8.1
47,2016년 2월 17일,-0.3,5.1,-6.3,0.0,0.0,11.4
48,2016년 2월 18일,2.2,9.2,-6.0,0.0,0.0,15.2
49,2016년 2월 19일,3.2,6.9,-2.1,0.0,0.0,9.0
50,2016년 2월 20일,1.8,8.1,-2.3,0.0,0.0,10.4
51,2016년 2월 21일,-0.9,3.9,-6.9,0.0,0.0,10.8
52,2016년 2월 22일,1.4,6.3,-3.3,0.0,0.0,9.6
53,2016년 2월 23일,2.0,7.8,-3.8,0.0,0.0,11.6
54,2016년 2월 24일,-2.8,2.7,-7.5,0.0,0.0,10.2
55,2016년 2월 25일,-1.5,5.5,-9.1,0.0,0.0,14.6
56,2016년 2월 26일,2.2,5.7,-1.9,0.0,2.0,7.6
57,2016년 2월 27일,4.9,10.9,0.5,0.0,2.0,10.4
58,2016년 2월 28일,2.6,12.8,-1.4,0.0,11.0,14.2
59,2016년 2월 29일,-3.1,-0.5,-5.4,0.0,0.5,4.9
60,2016년 3월 1일,-3.0,3.4,-9.7,0.0,0.0,13.1
61,2016년 3월 2일,1.1,10.3,-6.8,0.0,0.0,17.1
62,2016년 3월 3일,5.2,17.4,-4.4,0.0,0.0,21.8
63,2016년 3월 4일,7.7,11.3,1.3,0.0,13.0,10.0
64,2016년 3월 5일,12.2,16.3,7.8,0.0,32.0,8.5
65,2016년 3월 6일,10.0,14.9,3.6,0.0,0.0,11.3
66,2016년 3월 7일,8.3,17.9,0.8,0.0,0.0,17.099999999999998
67,2016년 3월 8일,5.0,7.9,1.7,0.0,0.0,6.2
68,2016년 3월 9일,2.0,7.9,-1.2,0.0,0.0,9.1
69,2016년 3월 10일,-0.3,4.7,-3.4,0.0,0.0,8.1
70,2016년 3월 11일,-0.7,5.0,-5.8,0.0,0.0,10.8
71,2016년 3월 12일,0.8,8.3,-7.7,0.0,0.0,16.0
72,2016년 3월 13일,2.4,7.8,-1.6,0.0,0.0,9.4
73,2016년 3월 14일,2.2,8.8,-2.7,0.0,0.0,11.5
74,2016년 3월 15일,4.3,13.6,-5.9,0.0,0.0,19.5
75,2016년 3월 16일,6.8,15.3,0.5,0.0,0.0,14.8
76,2016년 3월 17일,8.3,18.8,-4.2,0.0,0.0,23.0
77,2016년 3월 18일,9.6,14.1,6.8,0.0,9.5,7.3
78,2016년 3월 19일,9.2,17.2,4.6,0.0,0.0,12.6
79,2016년 3월 20일,7.8,16.7,0.2,0.0,0.0,16.5
80,2016년 3월 21일,7.7,15.7,-0.2,0.0,0.0,15.9
81,2016년 3월 22일,7.6,16.8,-2.0,0.0,0.0,18.8
82,2016년 3월 23일,7.3,13.9,2.0,0.0,0.0,11.9
83,2016년 3월 24일,5.2,12.4,-1.9,0.0,0.0,14.3
84,2016년 3월 25일,4.6,12.1,-2.0,0.0,0.0,14.1
85,2016년 3월 26일,4.1,11.7,-3.8,0.0,0.0,15.5
86,2016년 3월 27일,4.9,13.3,-3.3,0.0,0.0,16.6
87,2016년 3월 28일,7.3,17.7,-3.7,0.0,0.0,21.4
88,2016년 3월 29일,11.1,19.1,2.1,0.0,0.0,17.0
89,2016년 3월 30일,12.7,20.8,4.8,0.0,0.0,16.0
90,2016년 3월 31일,10.9,21.1,1.7,0.0,0.0,19.4
91,2016년 4월 1일,12.4,24.8,0.5,0.0,0.0,24.3
92,2016년 4월 2일,14.3,24.2,2.7,0.0,0.0,21.5
93,2016년 4월 3일,12.2,16.8,8.9,0.0,5.5,7.9
94,2016년 4월 4일,11.5,15.3,9.0,0.0,3.5,6.300000000000001
95,2016년 4월 5일,10.7,19.4,1.7,0.0,0.0,17.7
96,2016년 4월 6일,11.6,22.7,2.7,0.0,18.0,20.0
97,2016년 4월 7일,12.0,17.5,8.2,0.0,34.0,9.3
98,2016년 4월 8일,13.0,21.3,5.6,0.0,0.0,15.7
99,2016년 4월 9일,14.5,23.8,6.4,0.0,0.0,17.4
100,2016년 4월 10일,15.1,24.7,7.1,0.0,0.0,17.6
101,2016년 4월 11일,12.0,18.1,8.5,0.0,0.0,9.6
102,2016년 4월 12일,14.0,22.7,6.5,0.0,0.2,16.2
103,2016년 4월 13일,14.1,16.4,12.1,0.0,17.5,4.299999999999999
104,2016년 4월 14일,14.7,20.5,7.8,0.0,0.0,12.7
105,2016년 4월 15일,14.2,24.4,3.2,0.0,0.0,21.2
106,2016년 4월 16일,13.6,21.0,6.4,0.0,11.0,14.6
107,2016년 4월 17일,11.4,18.7,8.6,0.0,15.0,10.1
108,2016년 4월 18일,12.2,17.9,8.2,0.0,1.0,9.7
109,2016년 4월 19일,11.8,19.6,4.9,0.0,0.0,14.7
110,2016년 4월 20일,12.5,19.4,4.7,0.0,0.0,14.7
111,2016년 4월 21일,12.5,15.3,10.0,0.0,36.5,5.300000000000001
112,2016년 4월 22일,17.7,25.0,11.1,0.0,0.0,13.9
113,2016년 4월 23일,15.2,22.7,9.3,0.0,0.0,13.4
114,2016년 4월 24일,13.5,23.9,3.9,0.0,0.0,20.0
