,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,1.6,5.7,-4.2,5.4,0.0,9.9
1,2016년 1월 2일,5.8,10.3,1.2,6.4,0.0,9.100000000000001
2,2016년 1월 3일,6.0,10.7,2.7,7.5,0.0,7.999999999999999
3,2016년 1월 4일,3.7,7.5,-1.0,4.5,0.0,8.5
4,2016년 1월 5일,-1.1,2.6,-3.4,3.3,0.0,6.0
5,2016년 1월 6일,-0.7,3.7,-4.6,5.5,0.0,8.3
6,2016년 1월 7일,-1.8,3.0,-5.6,1.4,0.0,8.6
7,2016년 1월 8일,-1.5,3.1,-7.3,2.0,0.0,10.4
8,2016년 1월 9일,0.2,4.0,-3.6,4.4,0.0,7.6
9,2016년 1월 10일,1.5,6.7,-1.8,3.1,0.0,8.5
10,2016년 1월 11일,-2.0,2.8,-5.0,1.5,0.0,7.8
11,2016년 1월 12일,-3.8,1.7,-8.0,1.6,0.0,9.7
12,2016년 1월 13일,-2.9,1.8,-7.3,5.3,2.7,9.1
13,2016년 1월 14일,-3.5,1.1,-10.2,3.5,0.8,11.299999999999999
14,2016년 1월 15일,-0.3,5.0,-4.2,2.5,0.2,9.2
15,2016년 1월 16일,1.7,4.9,-2.3,7.4,0.2,7.2
16,2016년 1월 17일,2.5,6.5,-1.5,6.5,0.0,8.0
17,2016년 1월 18일,-4.7,1.8,-10.2,5.1,0.0,12.0
18,2016년 1월 19일,-10.5,-6.8,-12.9,0.4,0.0,6.1000000000000005
19,2016년 1월 20일,-9.0,-5.0,-12.6,2.6,0.0,7.6
20,2016년 1월 21일,-5.8,-1.4,-9.8,4.3,0.0,8.4
21,2016년 1월 22일,-5.8,-1.5,-10.6,5.1,0.0,9.1
22,2016년 1월 23일,-9.5,-6.1,-14.3,4.1,0.0,8.200000000000001
23,2016년 1월 24일,-12.6,-8.5,-16.2,0.0,0.0,7.699999999999999
24,2016년 1월 25일,-8.2,-2.4,-14.4,1.0,0.0,12.0
25,2016년 1월 26일,-2.8,3.3,-6.5,5.5,0.7,9.8
26,2016년 1월 27일,-0.7,4.8,-5.5,2.6,0.0,10.3
27,2016년 1월 28일,0.2,5.2,-6.8,6.9,0.0,12.0
28,2016년 1월 29일,2.0,6.5,-1.6,7.0,0.0,8.1
29,2016년 1월 30일,0.6,7.5,-4.1,3.3,0.0,11.6
30,2016년 1월 31일,-2.6,0.7,-4.9,4.0,0.0,5.6000000000000005
31,2016년 2월 1일,-4.9,-0.4,-8.0,0.9,0.0,7.6
32,2016년 2월 2일,-4.7,2.3,-10.5,0.0,0.0,12.8
33,2016년 2월 3일,-2.7,5.4,-9.1,2.3,0.0,14.5
34,2016년 2월 4일,0.0,6.2,-4.6,3.8,0.0,10.8
35,2016년 2월 5일,-1.7,4.2,-7.4,2.8,0.0,11.600000000000001
36,2016년 2월 6일,-2.3,2.8,-7.7,0.0,0.3,10.5
37,2016년 2월 7일,-2.9,3.9,-9.5,1.1,0.0,13.4
38,2016년 2월 8일,2.0,7.3,-5.0,6.1,0.0,12.3
39,2016년 2월 9일,1.2,7.5,-3.5,0.8,0.0,11.0
40,2016년 2월 10일,2.4,10.9,-5.6,0.0,0.0,16.5
41,2016년 2월 11일,8.5,14.8,0.3,6.3,0.2,14.5
42,2016년 2월 12일,9.5,10.9,7.4,10.0,27.4,3.5
43,2016년 2월 13일,11.8,16.6,4.4,10.0,14.3,12.200000000000001
44,2016년 2월 14일,-1.4,4.5,-5.0,8.4,0.0,9.5
45,2016년 2월 15일,-4.5,-0.5,-8.6,2.4,0.1,8.1
46,2016년 2월 16일,-2.1,3.4,-7.3,4.1,0.5,10.7
47,2016년 2월 17일,0.4,6.2,-5.6,0.3,0.0,11.8
48,2016년 2월 18일,3.9,8.6,-2.8,4.3,0.0,11.399999999999999
49,2016년 2월 19일,1.9,4.9,-1.5,7.5,0.0,6.4
50,2016년 2월 20일,2.4,8.4,-2.2,2.0,0.0,10.600000000000001
51,2016년 2월 21일,0.4,5.5,-5.1,2.8,0.0,10.6
52,2016년 2월 22일,2.2,4.9,-1.7,9.5,0.1,6.6000000000000005
53,2016년 2월 23일,1.5,7.1,-3.1,5.4,0.3,10.2
54,2016년 2월 24일,-2.3,2.4,-6.2,0.0,0.0,8.6
55,2016년 2월 25일,0.6,5.9,-5.8,3.0,0.0,11.7
56,2016년 2월 26일,3.4,8.1,-1.8,4.8,1.1,9.9
57,2016년 2월 27일,2.9,7.9,0.3,7.5,5.3,7.6000000000000005
58,2016년 2월 28일,1.6,7.6,-2.1,6.5,3.0,9.7
59,2016년 2월 29일,-2.4,0.0,-4.4,2.5,0.0,4.4
60,2016년 3월 1일,-1.7,3.5,-7.0,1.9,0.0,10.5
61,2016년 3월 2일,3.4,9.8,-2.7,6.6,0.0,12.5
62,2016년 3월 3일,7.8,13.7,3.8,6.0,0.0,9.899999999999999
63,2016년 3월 4일,13.1,19.7,8.2,6.6,3.6,11.5
64,2016년 3월 5일,11.9,15.1,9.0,8.8,51.2,6.1
65,2016년 3월 6일,8.2,14.6,4.8,4.3,0.0,9.8
66,2016년 3월 7일,8.6,12.5,3.0,8.0,0.0,9.5
67,2016년 3월 8일,3.7,7.0,-0.2,8.5,0.0,7.2
68,2016년 3월 9일,1.8,7.3,-1.2,4.1,0.0,8.5
69,2016년 3월 10일,0.6,5.5,-2.5,2.3,0.0,8.0
70,2016년 3월 11일,0.6,5.2,-3.8,0.1,0.0,9.0
71,2016년 3월 12일,2.4,8.7,-3.1,5.8,0.0,11.799999999999999
72,2016년 3월 13일,4.0,8.6,1.0,7.4,0.0,7.6
73,2016년 3월 14일,4.9,10.2,0.6,3.6,0.0,9.6
74,2016년 3월 15일,5.1,12.9,-2.2,4.0,0.0,15.100000000000001
75,2016년 3월 16일,7.5,14.8,2.7,2.8,0.0,12.100000000000001
76,2016년 3월 17일,9.0,16.4,-0.1,6.3,0.0,16.5
77,2016년 3월 18일,13.0,20.6,8.8,5.1,0.0,11.8
78,2016년 3월 19일,10.2,17.1,4.6,0.0,0.0,12.500000000000002
79,2016년 3월 20일,8.6,16.9,3.0,0.4,0.0,13.899999999999999
80,2016년 3월 21일,8.7,17.4,2.8,0.0,0.0,14.599999999999998
81,2016년 3월 22일,7.5,14.8,1.4,4.0,0.0,13.4
82,2016년 3월 23일,8.7,14.1,4.2,4.0,0.0,9.899999999999999
83,2016년 3월 24일,6.8,13.5,1.0,0.4,0.0,12.5
84,2016년 3월 25일,6.1,12.6,0.7,1.4,0.0,11.9
85,2016년 3월 26일,5.4,13.2,-0.1,1.0,0.0,13.299999999999999
86,2016년 3월 27일,6.5,13.9,0.8,0.9,0.0,13.1
87,2016년 3월 28일,9.2,17.9,0.6,0.8,0.0,17.299999999999997
88,2016년 3월 29일,11.3,18.1,6.0,6.8,0.0,12.100000000000001
89,2016년 3월 30일,11.3,18.9,6.3,3.1,0.0,12.599999999999998
90,2016년 3월 31일,13.1,22.2,4.2,4.8,0.0,18.0
91,2016년 4월 1일,14.1,24.3,5.4,2.6,0.0,18.9
92,2016년 4월 2일,14.2,23.3,6.8,2.8,0.0,16.5
93,2016년 4월 3일,11.3,14.0,9.1,8.4,0.3,4.9
94,2016년 4월 4일,12.3,20.1,5.1,4.1,0.0,15.000000000000002
95,2016년 4월 5일,11.1,18.7,4.1,1.4,0.0,14.6
96,2016년 4월 6일,14.4,23.6,5.4,7.3,4.2,18.200000000000003
97,2016년 4월 7일,13.6,20.9,9.8,6.3,7.9,11.099999999999998
98,2016년 4월 8일,10.9,20.6,7.9,5.9,0.0,12.700000000000001
99,2016년 4월 9일,12.2,18.1,8.2,8.0,0.0,9.900000000000002
100,2016년 4월 10일,13.1,21.5,8.0,5.8,0.0,13.5
101,2016년 4월 11일,12.9,19.8,7.1,0.3,0.0,12.700000000000001
102,2016년 4월 12일,14.2,20.3,9.7,6.4,0.0,10.600000000000001
103,2016년 4월 13일,15.0,22.0,11.1,5.6,3.8,10.9
104,2016년 4월 14일,10.7,17.8,7.1,3.6,0.0,10.700000000000001
105,2016년 4월 15일,14.4,24.2,6.1,2.5,0.0,18.1
106,2016년 4월 16일,14.9,21.6,8.3,7.6,29.6,13.3
107,2016년 4월 17일,11.4,15.0,9.1,5.6,17.7,5.9
108,2016년 4월 18일,11.2,19.5,6.0,4.3,3.2,13.5
109,2016년 4월 19일,12.0,19.8,7.0,5.6,0.0,12.8
110,2016년 4월 20일,14.2,19.6,9.7,8.9,0.4,9.900000000000002
111,2016년 4월 21일,14.4,19.3,10.9,9.3,12.1,8.4
112,2016년 4월 22일,14.7,23.8,11.1,7.8,0.0,12.700000000000001
113,2016년 4월 23일,13.9,21.3,9.0,7.5,0.0,12.3
114,2016년 4월 24일,14.7,24.3,6.8,2.9,0.0,17.5
115,2016년 4월 25일,16.4,26.1,8.3,1.0,0.0,17.8
116,2016년 4월 26일,20.4,29.7,9.7,6.1,0.0,20.0
117,2016년 4월 27일,17.5,20.6,15.5,9.8,0.0,5.100000000000001
118,2016년 4월 28일,16.5,22.1,12.2,5.3,0.0,9.900000000000002
119,2016년 4월 29일,15.3,22.6,10.3,1.3,0.0,12.3
120,2016년 4월 30일,16.5,23.4,9.8,5.1,0.0,13.599999999999998
121,2016년 5월 1일,18.4,27.8,10.8,4.4,0.0,17.0
122,2016년 5월 2일,20.6,28.4,14.9,7.4,21.3,13.499999999999998
123,2016년 5월 3일,13.6,18.5,9.7,9.9,38.1,8.8
124,2016년 5월 4일,15.9,21.3,11.1,1.3,0.0,10.200000000000001
125,2016년 5월 5일,18.7,26.9,8.1,4.0,3.1,18.799999999999997
126,2016년 5월 6일,16.5,19.3,12.3,9.0,1.1,7.0
127,2016년 5월 7일,15.4,22.6,9.2,2.9,0.0,13.400000000000002
128,2016년 5월 8일,18.5,26.5,9.7,5.0,0.0,16.8
129,2016년 5월 9일,20.3,26.7,14.1,8.0,0.0,12.6
130,2016년 5월 10일,15.2,19.2,13.4,9.6,16.2,5.799999999999999
131,2016년 5월 11일,16.6,23.6,11.0,2.0,0.0,12.600000000000001
132,2016년 5월 12일,17.5,24.7,10.9,3.6,0.0,13.799999999999999
133,2016년 5월 13일,17.7,25.0,12.3,3.5,0.0,12.7
134,2016년 5월 14일,19.7,26.7,14.1,5.1,0.0,12.6
135,2016년 5월 15일,17.5,25.2,12.6,8.3,39.8,12.6
136,2016년 5월 16일,15.6,22.2,10.6,3.3,2.7,11.6
137,2016년 5월 17일,18.4,27.1,9.9,0.0,0.0,17.200000000000003
138,2016년 5월 18일,21.1,30.3,11.9,1.3,0.0,18.4
139,2016년 5월 19일,23.1,31.8,13.8,0.0,0.0,18.0
140,2016년 5월 20일,23.1,31.4,15.2,1.9,0.0,16.2
141,2016년 5월 21일,23.6,30.3,17.1,4.0,0.0,13.2
142,2016년 5월 22일,23.5,31.0,16.5,4.8,0.0,14.5
143,2016년 5월 23일,22.4,29.6,16.3,7.4,0.0,13.3
144,2016년 5월 24일,16.4,20.7,13.5,6.5,34.1,7.199999999999999
145,2016년 5월 25일,19.4,24.1,13.5,7.5,0.0,10.600000000000001
146,2016년 5월 26일,19.7,24.7,16.9,7.4,0.0,7.800000000000001
147,2016년 5월 27일,21.1,27.8,14.6,7.6,0.0,13.200000000000001
148,2016년 5월 28일,20.1,27.2,15.0,2.6,0.0,12.2
149,2016년 5월 29일,20.3,26.9,15.5,4.1,0.0,11.399999999999999
150,2016년 5월 30일,21.2,28.7,14.6,0.0,0.0,14.1
151,2016년 5월 31일,20.7,27.6,15.8,3.6,0.0,11.8
152,2016년 6월 1일,22.7,29.6,16.5,2.6,0.0,13.100000000000001
153,2016년 6월 2일,22.6,29.1,16.1,0.8,0.0,13.0
154,2016년 6월 3일,21.9,28.3,15.7,4.3,0.0,12.600000000000001
155,2016년 6월 4일,20.6,24.2,18.4,8.8,0.2,5.800000000000001
156,2016년 6월 5일,23.6,31.1,15.3,3.1,0.0,15.8
157,2016년 6월 6일,22.4,26.4,19.9,8.1,0.0,6.5
158,2016년 6월 7일,21.9,27.9,17.6,5.0,0.0,10.299999999999997
