,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,0.4,7.6,-5.4,0.0,0.0,13.0
1,2016년 1월 2일,2.1,10.3,-3.3,0.0,0.0,13.6
2,2016년 1월 3일,3.5,13.1,-2.7,0.0,0.0,15.8
3,2016년 1월 4일,6.3,11.0,2.3,0.0,0.0,8.7
4,2016년 1월 5일,1.7,4.9,-1.0,0.0,0.0,5.9
5,2016년 1월 6일,1.7,5.9,-3.1,0.0,0.0,9.0
6,2016년 1월 7일,1.9,5.1,-1.1,0.0,0.0,6.199999999999999
7,2016년 1월 8일,0.6,5.4,-2.2,0.0,0.0,7.6
8,2016년 1월 9일,1.6,6.8,-4.7,0.0,0.0,11.5
9,2016년 1월 10일,3.4,7.9,-1.2,0.0,0.0,9.1
10,2016년 1월 11일,0.8,5.3,-3.3,0.0,0.0,8.6
11,2016년 1월 12일,-0.7,4.9,-5.7,0.0,0.0,10.6
12,2016년 1월 13일,-0.3,2.9,-4.5,0.0,0.0,7.4
13,2016년 1월 14일,-0.5,4.2,-4.1,0.0,0.0,8.3
14,2016년 1월 15일,-0.2,6.1,-6.2,0.0,0.0,12.3
15,2016년 1월 16일,0.9,8.0,-4.0,0.0,0.0,12.0
16,2016년 1월 17일,0.9,2.9,-1.8,0.0,2.6,4.7
17,2016년 1월 18일,-0.4,3.7,-6.2,0.0,0.3,9.9
18,2016년 1월 19일,-6.2,-3.9,-7.9,0.0,0.0,4.0
19,2016년 1월 20일,-5.4,-1.4,-9.5,0.0,0.0,8.1
20,2016년 1월 21일,-3.3,0.0,-6.6,0.0,0.0,6.6
21,2016년 1월 22일,-2.1,1.4,-6.6,0.0,0.0,8.0
22,2016년 1월 23일,-5.8,-2.5,-10.8,0.0,0.0,8.3
23,2016년 1월 24일,-10.0,-7.4,-13.1,0.0,0.0,5.699999999999999
24,2016년 1월 25일,-4.6,0.1,-11.2,0.0,0.0,11.3
25,2016년 1월 26일,-1.6,4.4,-7.7,0.0,0.0,12.1
26,2016년 1월 27일,1.7,7.7,-3.5,0.0,0.0,11.2
27,2016년 1월 28일,-0.1,3.2,-5.5,0.0,3.0,8.7
28,2016년 1월 29일,1.4,2.7,-0.1,0.0,10.7,2.8000000000000003
29,2016년 1월 30일,2.7,6.7,-0.6,0.0,0.0,7.3
30,2016년 1월 31일,1.0,4.0,-1.9,0.0,0.0,5.9
31,2016년 2월 1일,-1.4,2.6,-4.1,0.0,0.0,6.699999999999999
32,2016년 2월 2일,-1.9,3.4,-7.4,0.0,0.0,10.8
33,2016년 2월 3일,-0.9,5.4,-7.4,0.0,0.0,12.8
34,2016년 2월 4일,1.5,6.4,-5.1,0.0,0.0,11.5
35,2016년 2월 5일,1.2,6.2,-2.6,0.0,0.0,8.8
36,2016년 2월 6일,0.0,4.6,-5.3,0.0,0.0,9.9
37,2016년 2월 7일,-0.6,6.1,-6.6,0.0,0.0,12.7
38,2016년 2월 8일,2.4,8.9,-6.5,0.0,0.0,15.4
39,2016년 2월 9일,3.6,8.1,-1.6,0.0,0.0,9.7
40,2016년 2월 10일,1.9,11.3,-5.2,0.0,0.0,16.5
41,2016년 2월 11일,5.0,13.2,-3.1,0.0,0.0,16.3
42,2016년 2월 12일,9.9,12.8,5.6,0.0,11.2,7.200000000000001
43,2016년 2월 13일,12.2,15.6,9.2,0.0,4.2,6.4
44,2016년 2월 14일,2.8,14.0,-2.0,0.0,0.1,16.0
45,2016년 2월 15일,-1.7,1.5,-4.7,0.0,0.0,6.2
46,2016년 2월 16일,0.6,4.3,-3.2,0.0,0.5,7.5
47,2016년 2월 17일,2.3,7.0,-3.2,0.0,0.0,10.2
48,2016년 2월 18일,2.5,10.2,-3.5,0.0,0.0,13.7
49,2016년 2월 19일,4.1,9.6,-1.3,0.0,0.0,10.9
50,2016년 2월 20일,4.3,10.9,0.4,0.0,0.0,10.5
51,2016년 2월 21일,1.7,6.3,-3.4,0.0,0.0,9.7
52,2016년 2월 22일,3.6,7.7,-1.1,0.0,0.0,8.8
53,2016년 2월 23일,4.4,9.6,-0.3,0.0,0.0,9.9
54,2016년 2월 24일,0.7,5.6,-2.7,0.0,0.0,8.3
55,2016년 2월 25일,1.3,7.0,-5.3,0.0,0.0,12.3
56,2016년 2월 26일,2.2,5.8,-2.3,0.0,1.8,8.1
57,2016년 2월 27일,5.2,11.6,1.1,0.0,0.6,10.5
58,2016년 2월 28일,5.2,13.6,0.7,0.0,5.3,12.9
59,2016년 2월 29일,-0.4,3.3,-3.4,0.0,0.0,6.699999999999999
60,2016년 3월 1일,0.1,5.4,-6.2,0.0,0.0,11.6
61,2016년 3월 2일,3.3,12.5,-4.7,0.0,0.0,17.2
62,2016년 3월 3일,6.0,16.8,-3.0,0.0,0.0,19.8
63,2016년 3월 4일,7.5,10.6,2.3,0.0,4.6,8.3
64,2016년 3월 5일,12.1,15.9,8.7,0.0,35.1,7.200000000000001
65,2016년 3월 6일,12.5,17.8,6.1,0.0,1.1,11.7
66,2016년 3월 7일,10.5,17.5,3.4,0.0,0.0,14.1
67,2016년 3월 8일,8.4,11.0,5.5,0.0,0.0,5.5
68,2016년 3월 9일,5.5,10.7,2.4,0.0,0.0,8.299999999999999
69,2016년 3월 10일,2.5,7.0,-0.3,0.0,0.0,7.3
70,2016년 3월 11일,1.8,7.0,-2.4,0.0,0.0,9.4
71,2016년 3월 12일,3.9,10.1,-3.2,0.0,0.0,13.3
72,2016년 3월 13일,4.9,9.5,1.6,0.0,0.0,7.9
73,2016년 3월 14일,5.4,10.9,-0.5,0.0,0.0,11.4
74,2016년 3월 15일,7.7,15.1,-1.0,0.0,0.0,16.1
75,2016년 3월 16일,10.3,18.2,4.7,0.0,0.0,13.5
76,2016년 3월 17일,10.7,19.9,0.0,0.0,0.0,19.9
77,2016년 3월 18일,10.6,12.5,9.1,0.0,9.0,3.4000000000000004
78,2016년 3월 19일,11.5,18.1,6.4,0.0,0.0,11.7
79,2016년 3월 20일,9.1,13.5,5.0,0.0,0.0,8.5
80,2016년 3월 21일,9.6,17.0,2.6,0.0,0.0,14.4
81,2016년 3월 22일,11.6,19.4,2.3,0.0,0.0,17.099999999999998
82,2016년 3월 23일,10.9,16.1,7.2,0.0,0.0,8.900000000000002
83,2016년 3월 24일,8.0,13.2,4.3,0.0,0.3,8.899999999999999
84,2016년 3월 25일,7.2,11.9,3.8,0.0,0.4,8.100000000000001
85,2016년 3월 26일,7.5,13.0,1.1,0.0,0.0,11.9
86,2016년 3월 27일,9.8,15.7,3.1,0.0,0.0,12.6
87,2016년 3월 28일,10.5,19.4,1.8,0.0,0.0,17.599999999999998
88,2016년 3월 29일,12.2,19.9,4.4,0.0,0.0,15.499999999999998
89,2016년 3월 30일,14.3,22.6,6.2,0.0,0.0,16.400000000000002
90,2016년 3월 31일,12.7,20.9,4.9,0.0,0.0,15.999999999999998
91,2016년 4월 1일,15.1,24.7,3.9,0.0,0.0,20.8
92,2016년 4월 2일,15.5,24.1,6.7,0.0,0.0,17.400000000000002
93,2016년 4월 3일,12.9,16.9,10.4,0.0,17.9,6.499999999999998
94,2016년 4월 4일,10.6,13.1,8.1,0.0,2.3,5.0
95,2016년 4월 5일,12.9,20.9,6.0,0.0,0.0,14.9
96,2016년 4월 6일,13.7,22.0,6.5,0.0,12.9,15.5
97,2016년 4월 7일,13.2,18.6,9.1,0.0,31.4,9.500000000000002
98,2016년 4월 8일,16.5,24.4,8.8,0.0,0.0,15.599999999999998
99,2016년 4월 9일,17.2,25.7,9.0,0.0,0.0,16.7
100,2016년 4월 10일,15.3,24.0,9.9,0.0,3.1,14.1
101,2016년 4월 11일,10.8,15.4,8.3,0.0,0.0,7.1
102,2016년 4월 12일,13.3,19.7,6.5,0.0,0.2,13.2
103,2016년 4월 13일,13.6,15.1,11.9,0.0,10.1,3.2
104,2016년 4월 14일,17.3,24.2,12.0,0.0,0.0,12.2
105,2016년 4월 15일,15.1,22.0,7.0,0.0,0.0,15.0
106,2016년 4월 16일,15.1,20.8,8.3,0.0,9.9,12.5
107,2016년 4월 17일,15.2,19.4,12.4,0.0,5.8,6.999999999999998
108,2016년 4월 18일,15.4,21.2,10.5,0.0,0.1,10.7
109,2016년 4월 19일,13.7,20.1,8.9,0.0,0.0,11.2
110,2016년 4월 20일,15.3,20.9,7.2,0.0,0.0,13.7
111,2016년 4월 21일,13.5,16.8,10.0,0.0,31.6,6.800000000000001
112,2016년 4월 22일,18.6,27.4,11.0,0.0,0.0,16.4
113,2016년 4월 23일,17.4,21.6,14.3,0.0,0.0,7.300000000000001
114,2016년 4월 24일,16.1,23.3,9.1,0.0,0.0,14.2
115,2016년 4월 25일,16.5,25.9,7.5,0.0,0.0,18.4
116,2016년 4월 26일,18.3,27.1,9.6,0.0,0.0,17.5
117,2016년 4월 27일,11.2,15.7,9.5,0.0,35.9,6.199999999999999
118,2016년 4월 28일,14.7,21.0,9.8,0.0,2.5,11.2
119,2016년 4월 29일,15.2,22.3,9.4,0.0,0.0,12.9
120,2016년 4월 30일,17.2,26.8,8.3,0.0,0.0,18.5
121,2016년 5월 1일,18.6,27.3,9.8,0.0,0.0,17.5
122,2016년 5월 2일,19.5,26.6,11.1,0.0,0.9,15.500000000000002
123,2016년 5월 3일,16.8,20.8,12.2,0.0,4.8,8.600000000000001
124,2016년 5월 4일,19.5,23.7,15.0,0.0,0.1,8.7
