,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,5.3,10.9,1.1,1.4,0.0,9.8
1,2016년 1월 2일,8.1,12.2,4.6,4.6,0.0,7.6
2,2016년 1월 3일,11.4,16.6,7.9,1.5,0.0,8.700000000000001
3,2016년 1월 4일,10.4,15.2,7.6,0.8,0.0,7.6
4,2016년 1월 5일,5.3,8.1,3.2,7.0,0.2,4.9
5,2016년 1월 6일,4.8,9.9,1.8,5.6,0.0,8.1
6,2016년 1월 7일,3.9,8.5,1.1,0.9,0.0,7.4
7,2016년 1월 8일,2.5,6.9,-0.5,0.8,0.0,7.4
8,2016년 1월 9일,3.8,9.4,-0.4,0.0,0.0,9.8
9,2016년 1월 10일,4.8,10.1,0.5,0.4,0.0,9.6
10,2016년 1월 11일,4.5,10.1,1.7,4.6,0.0,8.4
11,2016년 1월 12일,2.5,7.9,-0.9,1.1,0.0,8.8
12,2016년 1월 13일,1.5,6.9,-2.2,0.3,0.0,9.1
13,2016년 1월 14일,2.9,8.3,0.2,1.4,0.0,8.100000000000001
14,2016년 1월 15일,4.2,10.6,-0.5,0.0,0.0,11.1
15,2016년 1월 16일,5.7,10.4,2.3,6.4,0.0,8.100000000000001
16,2016년 1월 17일,6.6,10.3,5.1,9.5,14.2,5.200000000000001
17,2016년 1월 18일,2.3,6.9,-4.0,2.9,0.0,10.9
18,2016년 1월 19일,-3.1,0.7,-5.4,0.1,0.0,6.1000000000000005
19,2016년 1월 20일,-2.5,2.0,-6.6,2.8,0.0,8.6
20,2016년 1월 21일,-0.9,3.3,-3.5,6.8,0.0,6.8
21,2016년 1월 22일,0.8,6.7,-2.7,4.8,0.0,9.4
22,2016년 1월 23일,-2.9,1.1,-8.5,5.0,0.0,9.6
23,2016년 1월 24일,-7.6,-4.2,-10.2,1.9,0.0,5.999999999999999
24,2016년 1월 25일,-2.6,2.4,-8.2,0.0,0.0,10.6
25,2016년 1월 26일,1.4,7.3,-3.9,0.0,0.0,11.2
26,2016년 1월 27일,4.7,9.2,0.7,2.5,0.0,8.5
27,2016년 1월 28일,4.4,6.0,2.1,10.0,24.3,3.9
28,2016년 1월 29일,4.6,5.3,3.5,10.0,20.8,1.7999999999999998
29,2016년 1월 30일,6.1,8.7,4.5,6.8,0.0,4.199999999999999
30,2016년 1월 31일,3.8,7.0,1.4,3.3,0.0,5.6
31,2016년 2월 1일,1.7,7.3,-1.2,2.9,0.0,8.5
32,2016년 2월 2일,1.2,7.9,-4.0,0.8,0.0,11.9
33,2016년 2월 3일,1.9,7.5,-2.8,0.0,0.0,10.3
34,2016년 2월 4일,3.2,7.3,-0.8,3.9,0.0,8.1
35,2016년 2월 5일,4.1,10.1,0.3,0.6,0.0,9.8
36,2016년 2월 6일,2.4,7.0,-0.7,0.1,0.0,7.7
37,2016년 2월 7일,3.3,9.4,-1.7,4.0,0.0,11.1
38,2016년 2월 8일,4.5,8.8,-1.2,0.0,0.0,10.0
39,2016년 2월 9일,6.4,11.9,3.4,0.0,0.0,8.5
40,2016년 2월 10일,6.3,11.8,1.3,0.0,0.0,10.5
41,2016년 2월 11일,9.2,14.7,4.0,5.5,0.0,10.7
42,2016년 2월 12일,12.3,13.9,9.7,10.0,32.7,4.200000000000001
43,2016년 2월 13일,14.5,15.8,12.5,9.3,28.9,3.3000000000000007
44,2016년 2월 14일,6.7,15.2,-0.4,5.8,0.0,15.6
45,2016년 2월 15일,-0.4,4.2,-3.5,1.0,0.0,7.7
46,2016년 2월 16일,2.2,6.3,-2.3,2.6,0.0,8.6
47,2016년 2월 17일,3.9,9.6,-0.6,0.0,0.0,10.2
48,2016년 2월 18일,5.7,9.9,0.3,1.6,0.0,9.6
49,2016년 2월 19일,8.9,14.8,5.7,6.5,0.0,9.1
50,2016년 2월 20일,7.8,11.6,3.8,7.4,1.4,7.8
51,2016년 2월 21일,3.8,8.9,-0.2,1.0,0.0,9.1
52,2016년 2월 22일,6.6,10.4,3.1,10.0,0.0,7.300000000000001
53,2016년 2월 23일,7.9,12.8,3.9,6.5,0.0,8.9
54,2016년 2월 24일,3.0,8.4,-0.5,5.3,0.0,8.9
55,2016년 2월 25일,3.1,8.8,-2.1,0.0,0.0,10.9
56,2016년 2월 26일,6.1,10.6,1.3,4.9,0.0,9.3
57,2016년 2월 27일,10.6,15.6,7.4,2.6,0.0,8.2
58,2016년 2월 28일,10.1,15.2,6.5,4.6,0.7,8.7
59,2016년 2월 29일,1.1,6.7,-2.5,2.6,0.0,9.2
60,2016년 3월 1일,1.4,7.7,-4.3,0.0,0.0,12.0
61,2016년 3월 2일,6.3,11.4,0.1,0.0,0.0,11.3
62,2016년 3월 3일,11.4,17.2,5.9,1.3,0.0,11.3
63,2016년 3월 4일,11.5,12.4,10.6,10.0,35.7,1.8000000000000007
64,2016년 3월 5일,13.7,16.4,10.5,10.0,1.6,5.899999999999999
65,2016년 3월 6일,13.3,17.1,11.7,8.6,32.7,5.400000000000002
66,2016년 3월 7일,11.4,16.2,7.8,0.5,0.0,8.399999999999999
67,2016년 3월 8일,9.6,13.4,5.1,9.8,6.6,8.3
