date,요일,배추_거래량(kg),배추_가격(원/kg),무_거래량(kg),무_가격(원/kg),양파_거래량(kg),양파_가격(원/kg),건고추_거래량(kg),건고추_가격(원/kg),마늘_거래량(kg),마늘_가격(원/kg),대파_거래량(kg),대파_가격(원/kg),얼갈이배추_거래량(kg),얼갈이배추_가격(원/kg),양배추_거래량(kg),양배추_가격(원/kg),깻잎_거래량(kg),깻잎_가격(원/kg),시금치_거래량(kg),시금치_가격(원/kg),미나리_거래량(kg),미나리_가격(원/kg),당근_거래량(kg),당근_가격(원/kg),파프리카_거래량(kg),파프리카_가격(원/kg),새송이_거래량(kg),새송이_가격(원/kg),팽이버섯_거래량(kg),팽이버섯_가격(원/kg),토마토_거래량(kg),토마토_가격(원/kg),청상추_거래량(kg),청상추_가격(원/kg),백다다기_거래량(kg),백다다기_가격(원/kg),애호박_거래량(kg),애호박_가격(원/kg),캠벨얼리_거래량(kg),캠벨얼리_가격(원/kg),샤인마스캇_거래량(kg),샤인마스캇_가격(원/kg)
2020-11-06,금요일,2051420.6,493.0,2764127.3,487.0,1969669.2,1138.0,958.0,22510.0,149460.9,5638.0,656754.3,2402.0,276943.5,844.0,639862.2,1073.0,79001.9,4831.0,239544.0,2401.0,66716.5,3458.0,405829.0,1058.0,161090.7,3869.0,169087.5,2418.0,134141.5,1408.0,257987.1,2806.0,42634.0,1959.0,290660.8,1290.0,318723.1,1530.0,23697.0,2797.0,70824.0,10514.0
2020-11-07,토요일,2042138.9,442.0,2666318.3,479.0,1705453.2,1157.0,513.4,22581.0,92844.9,5354.0,718311.7,2371.0,292581.5,842.0,572987.9,1027.0,82826.0,4753.0,224878.8,2301.0,72880.8,4144.0,218709.0,987.0,150965.6,3695.0,168812.1,2426.0,120560.0,1424.0,252323.2,2292.0,48052.0,1893.0,342790.2,1189.0,285808.6,1433.0,17876.0,3291.0,63136.5,10599.0
2020-11-08,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-09,월요일,2848530.8,456.0,3727873.7,438.0,2133235.1,1166.0,1800.7,22878.0,115518.0,5465.0,824543.7,2339.0,422312.5,816.0,794312.1,959.0,110982.1,5141.0,306776.1,2330.0,82909.8,4255.0,494353.5,1065.0,232463.0,3233.0,195776.1,2455.0,134429.0,1478.0,307264.0,2587.0,52472.5,2006.0,497814.6,1211.0,478405.1,1500.0,22151.4,3118.0,65780.5,10830.0
2020-11-10,화요일,2255125.2,471.0,3199634.2,428.0,1793176.8,1167.0,1527.4,22083.0,135875.4,5500.0,723112.3,2332.0,333276.4,725.0,647841.5,926.0,73551.5,5410.0,265481.4,2189.0,96193.5,3345.0,461546.9,903.0,98844.9,3423.0,173862.4,2450.0,126818.2,1515.0,244878.5,2237.0,48767.1,2072.0,243682.9,1315.0,294449.5,1545.0,14071.5,4010.0,69389.7,10764.0
2020-11-11,수요일,2605669.0,486.0,2851953.6,436.0,1926333.3,1194.0,137575.4,18125.0,147659.1,5463.0,711103.0,2304.0,310367.0,740.0,673804.7,914.0,79722.7,5293.0,258006.8,2234.0,90453.7,3599.0,453895.0,921.0,161065.4,3392.0,161003.5,2443.0,122865.5,1558.0,285699.0,2397.0,48171.0,2014.0,307550.3,1243.0,357978.7,1568.0,15221.0,3437.0,71307.5,10739.0
2020-11-12,목요일,3832573.0,331.0,3116015.3,438.0,1900259.6,1175.0,1444.0,23218.0,118241.6,5088.0,689185.6,2307.0,304191.4,734.0,586466.8,970.0,77340.9,5110.0,249736.8,2150.0,95354.2,4486.0,389781.2,874.0,161928.5,3079.0,154469.8,2395.0,125828.0,1534.0,192486.5,2187.0,46053.2,1942.0,226487.8,1310.0,267333.1,1562.0,12358.9,3354.0,63409.6,10591.0
2020-11-13,금요일,3087934.4,562.0,2944191.2,502.0,1825599.6,1175.0,1622.6,20677.0,130317.4,5359.0,661816.3,2374.0,305807.4,764.0,626481.8,941.0,81733.1,5013.0,238719.6,2142.0,66911.5,5275.0,320182.3,833.0,214362.6,2790.0,161748.8,2335.0,124679.4,1532.0,261018.0,2305.0,45087.9,1913.0,302892.3,1302.0,382356.0,1517.0,13521.0,3579.0,56296.2,10843.0
2020-11-14,토요일,3186577.7,546.0,2876231.7,573.0,1381999.1,1167.0,1511.5,21843.0,133129.2,5246.0,680138.5,2502.0,275939.7,772.0,519829.6,936.0,84928.7,4940.0,213788.9,2071.0,113653.4,4800.0,185192.6,806.0,160651.4,2260.0,171040.4,2374.0,125906.5,1564.0,241022.5,2014.0,44664.0,2013.0,266178.8,1305.0,314057.6,1436.0,11503.0,3397.0,60582.7,10877.0
2020-11-15,일요일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
