,날짜,평균기온,최고기온,최저기온,평균운량,일강수량,일교차
0,2016년 1월 1일,1.3,8.8,-6.6,0.0,0.0,15.4
1,2016년 1월 2일,2.0,11.6,-4.8,0.0,0.0,16.4
2,2016년 1월 3일,3.3,14.9,-4.3,0.0,0.0,19.2
3,2016년 1월 4일,6.5,12.1,-1.9,0.0,0.0,14.0
4,2016년 1월 5일,2.3,6.0,0.1,0.0,0.0,5.9
5,2016년 1월 6일,1.7,5.9,-3.2,0.0,0.0,9.100000000000001
6,2016년 1월 7일,1.5,5.7,-1.0,0.0,0.0,6.7
7,2016년 1월 8일,0.6,5.1,-2.4,0.0,0.0,7.5
8,2016년 1월 9일,0.2,6.8,-8.1,0.0,0.0,14.899999999999999
9,2016년 1월 10일,2.4,8.1,-3.8,0.0,0.0,11.899999999999999
10,2016년 1월 11일,0.2,5.9,-5.0,0.0,0.0,10.9
11,2016년 1월 12일,-2.4,5.5,-10.2,0.0,0.0,15.7
12,2016년 1월 13일,-1.2,3.6,-4.5,0.0,0.0,8.1
13,2016년 1월 14일,-1.1,4.4,-6.7,0.0,0.0,11.100000000000001
14,2016년 1월 15일,-2.3,7.1,-9.6,0.0,0.0,16.7
15,2016년 1월 16일,-0.9,8.7,-7.7,0.0,0.0,16.4
16,2016년 1월 17일,1.6,7.4,-4.0,0.0,3.0,11.4
17,2016년 1월 18일,-0.6,4.0,-6.1,0.0,0.3,10.1
18,2016년 1월 19일,-6.6,-3.9,-9.0,0.0,0.0,5.1
19,2016년 1월 20일,-6.0,-1.3,-10.2,0.0,0.0,8.899999999999999
20,2016년 1월 21일,-3.8,0.4,-8.3,0.0,0.0,8.700000000000001
21,2016년 1월 22일,-2.6,2.2,-7.9,0.0,0.0,10.100000000000001
22,2016년 1월 23일,-5.7,-2.1,-11.3,0.0,0.0,9.200000000000001
23,2016년 1월 24일,-10.3,-7.3,-13.9,0.0,0.0,6.6000000000000005
24,2016년 1월 25일,-5.2,0.5,-10.4,0.0,0.0,10.9
25,2016년 1월 26일,-1.3,4.2,-7.0,0.0,0.0,11.2
26,2016년 1월 27일,0.4,7.8,-5.3,0.0,0.0,13.1
27,2016년 1월 28일,-1.1,3.1,-7.5,0.0,4.0,10.6
28,2016년 1월 29일,1.7,3.0,0.2,0.0,14.0,2.8
29,2016년 1월 30일,2.0,4.4,0.2,0.0,1.2,4.2
30,2016년 1월 31일,0.9,4.1,-1.2,0.0,0.0,5.3
31,2016년 2월 1일,-1.2,4.1,-4.3,0.0,0.0,8.399999999999999
32,2016년 2월 2일,-2.6,4.6,-7.1,0.0,0.0,11.7
33,2016년 2월 3일,-1.2,5.4,-9.4,0.0,0.0,14.8
34,2016년 2월 4일,1.7,6.2,-2.1,0.0,0.0,8.3
35,2016년 2월 5일,1.3,7.5,-2.4,0.0,0.0,9.9
