,지수
0,95.232
1,95.232
2,95.232
3,95.232
4,95.232
5,95.232
6,95.232
7,95.232
8,95.232
9,95.232
10,95.232
11,95.232
12,95.232
13,95.232
14,95.232
15,95.232
16,95.232
17,95.232
18,95.232
19,95.232
20,95.232
21,95.232
22,95.232
23,95.232
24,95.232
25,95.232
26,95.232
27,95.232
28,95.232
29,95.232
30,95.232
31,95.64
32,95.64
33,95.64
34,95.64
35,95.64
36,95.64
37,95.64
38,95.64
39,95.64
40,95.64
41,95.64
42,95.64
43,95.64
44,95.64
45,95.64
46,95.64
47,95.64
48,95.64
49,95.64
50,95.64
51,95.64
52,95.64
53,95.64
54,95.64
55,95.64
56,95.64
57,95.64
58,95.64
59,95.64
60,95.393
61,95.393
62,95.393
63,95.393
64,95.393
65,95.393
66,95.393
67,95.393
68,95.393
69,95.393
70,95.393
71,95.393
72,95.393
73,95.393
74,95.393
75,95.393
76,95.393
77,95.393
78,95.393
79,95.393
80,95.393
81,95.393
82,95.393
83,95.393
84,95.393
85,95.393
86,95.393
87,95.393
88,95.393
89,95.393
90,95.393
91,95.573
92,95.573
93,95.573
94,95.573
95,95.573
96,95.573
97,95.573
98,95.573
99,95.573
100,95.573
101,95.573
102,95.573
103,95.573
104,95.573
105,95.573
106,95.573
107,95.573
108,95.573
109,95.573
110,95.573
111,95.573
112,95.573
113,95.573
114,95.573
115,95.573
116,95.573
117,95.573
118,95.573
119,95.573
120,95.573
121,95.63
122,95.63
123,95.63
124,95.63
125,95.63
126,95.63
127,95.63
128,95.63
129,95.63
130,95.63
131,95.63
132,95.63
133,95.63
134,95.63
135,95.63
136,95.63
137,95.63
138,95.63
139,95.63
140,95.63
141,95.63
142,95.63
143,95.63
144,95.63
145,95.63
146,95.63
147,95.63
148,95.63
149,95.63
150,95.63
151,95.63
152,95.611
153,95.611
154,95.611
155,95.611
156,95.611
157,95.611
158,95.611
159,95.611
160,95.611
161,95.611
162,95.611
163,95.611
164,95.611
165,95.611
166,95.611
167,95.611
168,95.611
169,95.611
170,95.611
171,95.611
172,95.611
173,95.611
174,95.611
175,95.611
176,95.611
177,95.611
178,95.611
179,95.611
180,95.611
181,95.611
182,95.431
183,95.431
184,95.431
185,95.431
186,95.431
187,95.431
188,95.431
189,95.431
190,95.431
191,95.431
192,95.431
193,95.431
194,95.431
195,95.431
196,95.431
197,95.431
198,95.431
199,95.431
200,95.431
201,95.431
202,95.431
203,95.431
204,95.431
205,95.431
206,95.431
207,95.431
208,95.431
209,95.431
210,95.431
211,95.431
212,95.431
213,95.677
214,95.677
215,95.677
216,95.677
217,95.677
218,95.677
219,95.677
220,95.677
221,95.677
222,95.677
223,95.677
224,95.677
225,95.677
226,95.677
227,95.677
228,95.677
229,95.677
230,95.677
231,95.677
232,95.677
233,95.677
234,95.677
235,95.677
236,95.677
237,95.677
238,95.677
239,95.677
240,95.677
241,95.677
242,95.677
243,95.677
244,96.247
245,96.247
246,96.247
247,96.247
248,96.247
249,96.247
250,96.247
251,96.247
252,96.247
253,96.247
254,96.247
255,96.247
256,96.247
257,96.247
258,96.247
259,96.247
260,96.247
