구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2016년01월01일,1780.99,1407.15,1188.71,835.38
2016년01월02일,1781.69,1405.98,1187.91,834.11
2016년01월03일,1780.84,1405.33,1187.10,833.42
2016년01월04일,1780.73,1403.84,1185.85,832.00
2016년01월05일,1779.60,1402.25,1184.01,830.39
2016년01월06일,1779.69,1400.78,1182.44,828.66
2016년01월07일,1776.63,1399.15,1180.44,826.77
2016년01월08일,1776.26,1397.36,1178.04,824.76
2016년01월09일,1775.52,1395.62,1175.50,822.84
2016년01월10일,1773.71,1394.79,1174.30,821.67
2016년01월11일,1773.83,1393.53,1172.86,820.46
2016년01월12일,1771.25,1391.91,1170.17,818.44
2016년01월13일,1769.93,1390.32,1167.57,816.16
2016년01월14일,1768.29,1388.78,1164.76,813.62
2016년01월15일,1767.07,1387.16,1161.80,810.99
2016년01월16일,1766.01,1384.83,1158.36,808.45
2016년01월17일,1765.34,1383.82,1156.54,806.98
2016년01월18일,1762.48,1382.41,1154.25,805.51
2016년01월19일,1757.50,1379.99,1150.54,802.26
2016년01월20일,1755.68,1378.33,1147.64,799.66
2016년01월21일,1754.06,1376.56,1144.35,796.97
2016년01월22일,1752.71,1374.76,1140.80,794.09
2016년01월23일,1752.23,1373.35,1137.97,791.49
2016년01월24일,1749.50,1372.69,1136.39,789.87
2016년01월25일,1750.08,1371.97,1135.33,789.82
2016년01월26일,1747.40,1370.04,1131.93,786.53
2016년01월27일,1745.75,1368.42,1128.92,784.35
2016년01월28일,1744.07,1366.94,1126.12,782.80
2016년01월29일,1741.31,1365.79,1124.11,781.19
2016년01월30일,1741.36,1364.86,1122.40,779.78
2016년01월31일,1740.05,1364.37,1120.97,778.88
2016년02월01일,1735.31,1363.04,1118.75,777.67
2016년02월02일,1733.68,1362.19,1117.02,775.91
2016년02월03일,1734.87,1361.18,1115.02,774.50
2016년02월04일,1734.59,1360.25,1113.01,773.08
2016년02월05일,1733.90,1359.75,1111.98,771.95
2016년02월06일,1734.08,1359.05,1110.29,771.05
2016년02월07일,1735.11,1358.65,1109.39,770.26
2016년02월08일,1733.51,1358.50,1109.05,770.06
2016년02월09일,1730.38,1358.41,1108.73,769.43
2016년02월10일,1727.58,1358.06,1108.27,768.75
2016년02월11일,1727.48,1356.99,1107.26,767.72
2016년02월12일,1725.91,1355.48,1104.71,767.00
2016년02월13일,1725.33,1354.01,1102.64,765.77
2016년02월14일,1726.28,1353.17,1101.51,765.24
2016년02월15일,1725.34,1352.28,1100.93,764.67
2016년02월16일,1720.43,1350.34,1098.49,762.99
2016년02월17일,1718.39,1348.76,1096.73,761.74
2016년02월18일,1717.46,1347.55,1095.22,759.12
2016년02월19일,1715.90,1346.59,1094.20,758.41
2016년02월20일,1715.64,1345.74,1093.17,758.13
2016년02월21일,1713.38,1345.43,1092.36,757.66
2016년02월22일,1712.49,1344.98,1092.17,757.38
